"OperationId","Surface","Method","Path","Tag","ScreenId"
"wlt_account_snapshot","app-user","GET","/api/wlt/accounts/{account_id}/snapshot","","auto_wlt_account_snapshot_app-user"
"user_addresses_list","app-user","GET","/api/user/addresses","USER","auto_user_addresses_list_app-user"
"user_address_create","app-user","POST","/api/user/addresses","USER","auto_user_address_create_app-user"
"user_address_update","app-user","PATCH","/api/user/addresses/{address_id}","USER","auto_user_address_update_app-user"
"user_address_delete","app-user","DELETE","/api/user/addresses/{address_id}","USER","auto_user_address_delete_app-user"
"user_address_default_set","app-user","POST","/api/user/addresses/{address_id}/default","USER","auto_user_address_default_set_app-user"
"user_context_get","app-user","GET","/api/user/context","USER","auto_user_context_get_app-user"
"user_me_get","app-user","GET","/api/user/me","USER","auto_user_me_get_app-user"
"user_notifications_list","app-user","GET","/api/user/notifications","USER","auto_user_notifications_list_app-user"
"user_notification_read","app-user","POST","/api/user/notifications/{notification_id}/read","USER","auto_user_notification_read_app-user"
"user_otp_send","app-user","POST","/api/user/otp/send","USER","auto_user_otp_send_app-user"
"user_otp_verify","app-user","POST","/api/user/otp/verify","USER","auto_user_otp_verify_app-user"
"user_preferences_get","app-user","GET","/api/user/preferences","USER","auto_user_preferences_get_app-user"
"user_preferences_update","app-user","PATCH","/api/user/preferences","USER","auto_user_preferences_update_app-user"
"user_profile_get","app-user","GET","/api/user/profile","USER","auto_user_profile_get_app-user"
"user_profile_update","app-user","PATCH","/api/user/profile","USER","auto_user_profile_update_app-user"
"user_push_token_upsert","app-user","POST","/api/user/push-token/upsert","USER","auto_user_push_token_upsert_app-user"
"user_session_create","app-user","POST","/api/user/session","USER","auto_user_session_create_app-user"
"user_session_end","app-user","POST","/api/user/session/end","USER","auto_user_session_end_app-user"
"user_session_refresh","app-user","POST","/api/user/session/refresh","USER","auto_user_session_refresh_app-user"
"wlt_balance_get","app-user","GET","/api/wlt/balance","WLT","auto_wlt_balance_get_app-user"
"wlt_statements_export","app-user","POST","/api/wlt/exports/statements","WLT","auto_wlt_statements_export_app-user"
"wlt_hold_create","app-user","POST","/api/wlt/holds","WLT","auto_wlt_hold_create_app-user"
"wlt_hold_release","app-user","POST","/api/wlt/holds/{hold_id}/release","WLT","auto_wlt_hold_release_app-user"
"wlt_intent_create","app-user","POST","/api/wlt/intents","WLT","auto_wlt_intent_create_app-user"
"wlt_intent_get","app-user","GET","/api/wlt/intents/{intent_id}","WLT","auto_wlt_intent_get_app-user"
"wlt_intent_cancel","app-user","POST","/api/wlt/intents/{intent_id}/cancel","WLT","auto_wlt_intent_cancel_app-user"
"wlt_intent_confirm","app-user","POST","/api/wlt/intents/{intent_id}/confirm","WLT","auto_wlt_intent_confirm_app-user"
"wlt_kyc_submit","app-user","POST","/api/wlt/kyc/submit","WLT","auto_wlt_kyc_submit_app-user"
"wlt_partner_finance_overview","app-user","GET","/api/wlt/partner/finance/overview","WLT","auto_wlt_partner_finance_overview_app-user"
"wlt_partner_ledger_get","app-user","GET","/api/wlt/partner/ledger","WLT","auto_wlt_partner_ledger_get_app-user"
"wlt_partner_settlements_list","app-user","GET","/api/wlt/partner/settlements","WLT","auto_wlt_partner_settlements_list_app-user"
"wlt_payment_methods_list","app-user","GET","/api/wlt/payment-methods","WLT","auto_wlt_payment_methods_list_app-user"
"wlt_payout_request","app-user","POST","/api/wlt/payouts","WLT","auto_wlt_payout_request_app-user"
"wlt_payouts_list","app-user","GET","/api/wlt/payouts","WLT","auto_wlt_payouts_list_app-user"
"wlt_payout_get","app-user","GET","/api/wlt/payouts/{payout_id}","WLT","auto_wlt_payout_get_app-user"
"wlt_payout_approve","app-user","POST","/api/wlt/payouts/{payout_id}/approve","WLT","auto_wlt_payout_approve_app-user"
"wlt_provider_charge","app-user","POST","/api/wlt/providers/charge","INTERNAL","auto_wlt_provider_charge_app-user"
"wlt_provider_webhook","app-user","POST","/api/wlt/providers/webhook","INTERNAL","auto_wlt_provider_webhook_app-user"
"wlt_refund_create","app-user","POST","/api/wlt/refunds","WLT","auto_wlt_refund_create_app-user"
"wlt_refund_get","app-user","GET","/api/wlt/refunds/{refund_id}","WLT","auto_wlt_refund_get_app-user"
"wlt_settlement_create","app-user","POST","/api/wlt/settlements","WLT","auto_wlt_settlement_create_app-user"
"wlt_settlements_list","app-user","GET","/api/wlt/settlements","WLT","auto_wlt_settlements_list_app-user"
"wlt_settlement_get","app-user","GET","/api/wlt/settlements/{settlement_id}","WLT","auto_wlt_settlement_get_app-user"
"wlt_settlements_settlementId_approve_post","app-user","POST","/api/wlt/settlements/{settlement_id}/approve","WLT","auto_wlt_settlements_settlementId_approve_post_app-user"
"wlt_subscription_cancel","app-user","POST","/api/wlt/subscriptions/cancel","WLT","auto_wlt_subscription_cancel_app-user"
"wlt_subscription_checkout","app-user","POST","/api/wlt/subscriptions/checkout","WLT","auto_wlt_subscription_checkout_app-user"
"wlt_subscription_invoices_list","app-user","GET","/api/wlt/subscriptions/invoices","WLT","auto_wlt_subscription_invoices_list_app-user"
"wlt_subscription_invoice_get","app-user","GET","/api/wlt/subscriptions/invoices/{invoice_id}","WLT","auto_wlt_subscription_invoice_get_app-user"
"wlt_subscriptions_plans_list","app-user","GET","/api/wlt/subscriptions/plans","WLT","auto_wlt_subscriptions_plans_list_app-user"
"wlt_subscription_status_get","app-user","GET","/api/wlt/subscriptions/status","WLT","auto_wlt_subscription_status_get_app-user"
"wlt_wallet_topup","app-user","POST","/api/wlt/topup","WLT","auto_wlt_topup_app-user"
"wlt_transactions_list","app-user","GET","/api/wlt/transactions","WLT","auto_wlt_transactions_list_app-user"
"wlt_transfer_create","app-user","POST","/api/wlt/transfers","WLT","auto_wlt_transfer_create_app-user"
"wlt_transfers_list","app-user","GET","/api/wlt/transfers","WLT","auto_wlt_transfers_list_app-user"
"wlt_transfer_get","app-user","GET","/api/wlt/transfers/{transfer_id}","WLT","auto_wlt_transfer_get_app-user"
"wlt_withdraw_request","app-user","POST","/api/wlt/withdrawals","WLT","auto_wlt_withdraw_request_app-user"
"dsh_loyalty_points_user_balance","app-user","GET","/api/dsh/loyalty/points/user/{user_id}/balance","DSH","auto_dsh_loyalty_points_user_balance_app-user"
"dsh_loyalty_points_user_history","app-user","GET","/api/dsh/loyalty/points/user/{user_id}/history","DSH","auto_dsh_loyalty_points_user_history_app-user"
"fin_ledger_get","app-user","GET","/api/fin/ledger","FIN","auto_fin_ledger_get_app-user"
"wlt_journal_post","app-user","POST","/api/wlt/journal","FIN","auto_wlt_journal_post_app-user"
"wlt_bank_reconcile_post","app-user","POST","/api/wlt/bank/reconcile","FIN","auto_wlt_bank_reconcile_post_app-user"
"wlt_reconciliation_post","app-user","POST","/api/wlt/reconciliation","FIN","auto_wlt_reconciliation_post_app-user"
"wlt_periods_month_close_post","app-user","POST","/api/wlt/periods/{month}/close","FIN","auto_wlt_periods_month_close_post_app-user"
"wlt_payouts_batch_id_submit_post","app-user","POST","/api/wlt/payouts/{batch_id}/submit","FIN","auto_wlt_payouts_batch_id_submit_post_app-user"
"wlt_adjustments_post","app-user","POST","/api/wlt/adjustments","FIN","auto_wlt_adjustments_post_app-user"
"wlt_bankfiles_post","app-user","POST","/api/wlt/bankfiles","FIN","auto_wlt_bankfiles_post_app-user"
"wlt_disputes_id_decision_post","app-user","POST","/api/wlt/disputes/{id}/decision","FIN","auto_wlt_disputes_id_decision_post_app-user"
"wlt_fees_vars_publish_post","app-user","POST","/api/wlt/fees/vars/publish","FIN","auto_wlt_fees_vars_publish_post_app-user"
"fin_holds_get","app-user","GET","/api/fin/holds","FIN","auto_fin_holds_get_app-user"
"wlt_transactions_transactionId_sign_post","app-user","POST","/api/wlt/transactions/{transactionId}/sign","WLT","auto_wlt_transactions_transactionId_sign_post_app-user"
"wlt_transactions_transactionId_approve_post","app-user","POST","/api/wlt/transactions/{transactionId}/approve","WLT","auto_wlt_transactions_transactionId_approve_post_app-user"
"wlt_settlements_settlementId_sign_post","app-user","POST","/api/wlt/settlements/{settlementId}/sign","WLT","auto_wlt_settlements_settlementId_sign_post_app-user"
"wlt_settlements_settlementId_run_post","app-user","POST","/api/wlt/settlements/{settlementId}/run","WLT","auto_wlt_settlements_settlementId_run_post_app-user"
"wlt_addresses_addressId_deactivate_post","app-user","POST","/api/wlt/addresses/{addressId}/deactivate","WLT","auto_wlt_addresses_addressId_deactivate_post_app-user"
"wlt_assets_assetId_activate_post","app-user","POST","/api/wlt/assets/{assetId}/activate","WLT","auto_wlt_assets_assetId_activate_post_app-user"
"wlt_assets_assetId_approve_post","app-user","POST","/api/wlt/assets/{assetId}/approve","WLT","auto_wlt_assets_assetId_approve_post_app-user"
"wlt_assets_assetId_cancel_post","app-user","POST","/api/wlt/assets/{assetId}/cancel","WLT","auto_wlt_assets_assetId_cancel_post_app-user"
"wlt_assets_assetId_get","app-user","GET","/api/wlt/assets/{assetId}","WLT","auto_wlt_assets_assetId_get_app-user"
"wlt_assets_assetId_reject_post","app-user","POST","/api/wlt/assets/{assetId}/reject","WLT","auto_wlt_assets_assetId_reject_post_app-user"
"wlt_assets_assetId_report_post","app-user","POST","/api/wlt/assets/{assetId}/report","WLT","auto_wlt_assets_assetId_report_post_app-user"
