operation_id,canonical_name,owner,actors,surfaces,operation_type,trigger,state_effect,classification,source_trace
wlt_wallet_get,wlt_wallet_get,services/wlt,client,app-client,READ,query_or_screen_load,read_only,wlt_finance:read,services/wlt/governance/WLT_OPERATION_CATALOG.csv
wlt_payment_create,wlt_payment_create,services/wlt,client,app-client,MUTATION,primary_cta_or_workflow_step,state_mutation,wlt_finance:mutation,services/wlt/governance/WLT_OPERATION_CATALOG.csv
wlt_partner_settlement_get,wlt_partner_settlement_get,services/wlt,partner,app-partner,READ,query_or_screen_load,read_only,wlt_finance:read,services/wlt/governance/WLT_OPERATION_CATALOG.csv
wlt_partner_payout_request,wlt_partner_payout_request,services/wlt,partner,app-partner,MUTATION,primary_cta_or_workflow_step,state_mutation,wlt_finance:mutation,services/wlt/governance/WLT_OPERATION_CATALOG.csv
wlt_captain_earnings_get,wlt_captain_earnings_get,services/wlt,captain,app-captain,READ,query_or_screen_load,read_only,wlt_finance:read,services/wlt/governance/WLT_OPERATION_CATALOG.csv
wlt_captain_payout_request,wlt_captain_payout_request,services/wlt,captain,app-captain,MUTATION,primary_cta_or_workflow_step,state_mutation,wlt_finance:mutation,services/wlt/governance/WLT_OPERATION_CATALOG.csv
wlt_field_collection_get,wlt_field_collection_get,services/wlt,field,app-field,READ,query_or_screen_load,read_only,wlt_finance:read,services/wlt/governance/WLT_OPERATION_CATALOG.csv
wlt_field_settlement_submit,wlt_field_settlement_submit,services/wlt,field,app-field,MUTATION,primary_cta_or_workflow_step,state_mutation,wlt_finance:mutation,services/wlt/governance/WLT_OPERATION_CATALOG.csv
wlt_finance_review,wlt_finance_review,services/wlt,ops|finance,control-panel,READ,query_or_screen_load,read_only,wlt_finance:read,services/wlt/governance/WLT_TRACEABILITY.csv
wlt_finance_approve,wlt_finance_approve,services/wlt,ops|finance,control-panel,MUTATION,primary_cta_or_workflow_step,state_mutation,wlt_finance:mutation,services/wlt/governance/WLT_TRACEABILITY.csv
wlt_sync_dsh,wlt_sync_dsh,services/wlt,ops|finance,control-panel,MUTATION,primary_cta_or_workflow_step,state_mutation,wlt_integration:mutation,docs/services/wlt/05_SERVICE_CANONICAL_MODEL.md
wlt_sync_amn,wlt_sync_amn,services/wlt,ops|finance,control-panel,MUTATION,primary_cta_or_workflow_step,state_mutation,wlt_integration:mutation,docs/services/wlt/05_SERVICE_CANONICAL_MODEL.md
wlt_sync_arb,wlt_sync_arb,services/wlt,ops|finance,control-panel,MUTATION,primary_cta_or_workflow_step,state_mutation,wlt_integration:mutation,docs/services/wlt/05_SERVICE_CANONICAL_MODEL.md
