screen_id,canonical_name,donor_aliases,unit_type,surface,actor,route,related_operations,related_journeys,primary_cta,states,donor_trace
SCR_1,wlt_app_client_hub,wlt_app_client_hub,route_page,app-client,client,/wlt/home,wlt_wallet_get|wlt_payment_create|wlt_account_snapshot|wlt_addresses_addressId_deactivate_post|wlt_assets_assetId_activate_post|wlt_assets_assetId_approve_post|wlt_assets_assetId_cancel_post|wlt_assets_assetId_get|wlt_assets_assetId_reject_post|wlt_assets_assetId_report_post|wlt_balance_get|wlt_hold_create|wlt_hold_release|wlt_intent_cancel|wlt_intent_confirm|wlt_intent_create|wlt_intent_get|wlt_kyc_submit|wlt_payment_methods_list|wlt_provider_charge|wlt_provider_webhook|wlt_refund_create|wlt_refund_get|wlt_settlements_list|wlt_settlement_get|wlt_settlements_settlementId_approve_post|wlt_statements_export|wlt_subscription_cancel|wlt_subscription_checkout|wlt_subscription_invoice_get|wlt_subscription_invoices_list|wlt_subscription_status_get|wlt_subscriptions_plans_list|wlt_topup|wlt_transactions_list|wlt_transfer_create|wlt_transfers_list|wlt_transfer_get|wlt_withdraw_request,wlt_client_wallet_flow,open_workspace,loading|empty|error|success|offline|disabled,docs/services/wlt/05_SERVICE_CANONICAL_MODEL.md
SCR_2,wlt_app_partner_hub,wlt_app_partner_hub,route_page,app-partner,partner,/partner/wlt/home,wlt_partner_settlement_get|wlt_partner_payout_request|wlt_partner_finance_overview|wlt_partner_ledger_get|wlt_partner_settlements_list|wlt_payout_approve|wlt_payout_get|wlt_payout_request|wlt_payouts_list|wlt_settlement_create,wlt_partner_captain_field_settlement,open_workspace,loading|empty|error|success|offline|disabled,docs/services/wlt/05_SERVICE_CANONICAL_MODEL.md
SCR_3,wlt_app_captain_hub,wlt_app_captain_hub,route_page,app-captain,captain,/captain/wlt/home,wlt_captain_earnings_get|wlt_captain_payout_request,wlt_partner_captain_field_settlement,open_workspace,loading|empty|error|success|offline|disabled,docs/services/wlt/05_SERVICE_CANONICAL_MODEL.md
SCR_4,wlt_app_field_hub,wlt_app_field_hub,route_page,app-field,field,/field/wlt/home,wlt_field_collection_get|wlt_field_settlement_submit,wlt_partner_captain_field_settlement,open_workspace,loading|empty|error|success|offline|disabled,docs/services/wlt/05_SERVICE_CANONICAL_MODEL.md
SCR_5,wlt_control_finance_hub,wlt_control_finance_hub,route_page,control-panel,ops|finance,/finance/wlt,wlt_finance_review|wlt_finance_approve|wlt_sync_dsh|wlt_sync_amn|wlt_sync_arb|wlt_sync_knz|wlt_adjustments_post|wlt_bank_reconcile_post|wlt_bankfiles_post|wlt_disputes_id_decision_post|wlt_fees_vars_publish_post|wlt_journal_post|wlt_payouts_batch_id_submit_post|wlt_periods_month_close_post|wlt_reconciliation_post|wlt_settlements_settlementId_run_post|wlt_settlements_settlementId_sign_post|wlt_transactions_transactionId_approve_post|wlt_transactions_transactionId_sign_post,wlt_control_finance_ops,open_finance_workspace,loading|empty|error|success|offline|disabled,docs/services/wlt/06_SURFACE_CLASSIFICATION.md
SCR_6,wlt_wallet_get,wlt_wallet_get,component_screen,app-client,client,/wlt/wallet/get,wlt_wallet_get,wlt_client_wallet_flow,open_view,loading|empty|error|success|offline|disabled,services/wlt/governance/WLT_OPERATION_CATALOG.csv
SCR_7,wlt_partner_settlement_get,wlt_partner_settlement_get,component_screen,app-partner,partner,/partner/wlt/settlement/get,wlt_partner_settlement_get,wlt_partner_captain_field_settlement,open_view,loading|empty|error|success|offline|disabled,services/wlt/governance/WLT_OPERATION_CATALOG.csv
SCR_8,wlt_captain_earnings_get,wlt_captain_earnings_get,component_screen,app-captain,captain,/captain/wlt/earnings/get,wlt_captain_earnings_get,wlt_partner_captain_field_settlement,open_view,loading|empty|error|success|offline|disabled,services/wlt/governance/WLT_OPERATION_CATALOG.csv
SCR_9,wlt_field_collection_get,wlt_field_collection_get,component_screen,app-field,field,/field/wlt/collection/get,wlt_field_collection_get,wlt_partner_captain_field_settlement,open_view,loading|empty|error|success|offline|disabled,services/wlt/governance/WLT_OPERATION_CATALOG.csv
SCR_10,wlt_finance_review,wlt_finance_review,component_screen,control-panel,ops|finance,/finance/wlt/review,wlt_finance_review,wlt_control_finance_ops,open_view,loading|empty|error|success|offline|disabled,services/wlt/governance/WLT_TRACEABILITY.csv
SCR_11,wlt_payment_create,wlt_payment_create,component_screen,app-client,client,/wlt/payment/create,wlt_payment_create,wlt_client_wallet_flow,submit_payment,loading|empty|error|success|offline|disabled,services/wlt/governance/WLT_OPERATION_CATALOG.csv
