operation_id,service_method_name,target_service_path,input_shape,output_shape,policy_notes,audit_trace_required,idempotency_required,runtime_truth_class,status
wlt_wallet_get,execute_wlt_wallet_get,services/wlt/src,contract_input,contract_output,rbac_abac_applies,yes,no,service_runtime,ready
wlt_payment_create,execute_wlt_payment_create,services/wlt/src,contract_input,contract_output,rbac_abac_applies,yes,yes,service_runtime,ready
wlt_partner_settlement_get,execute_wlt_partner_settlement_get,services/wlt/src,contract_input,contract_output,rbac_abac_applies,yes,no,service_runtime,ready
wlt_partner_payout_request,execute_wlt_partner_payout_request,services/wlt/src,contract_input,contract_output,rbac_abac_applies,yes,yes,service_runtime,ready
wlt_captain_earnings_get,execute_wlt_captain_earnings_get,services/wlt/src,contract_input,contract_output,rbac_abac_applies,yes,no,service_runtime,ready
wlt_captain_payout_request,execute_wlt_captain_payout_request,services/wlt/src,contract_input,contract_output,rbac_abac_applies,yes,yes,service_runtime,ready
wlt_field_collection_get,execute_wlt_field_collection_get,services/wlt/src,contract_input,contract_output,rbac_abac_applies,yes,no,service_runtime,ready
wlt_field_settlement_submit,execute_wlt_field_settlement_submit,services/wlt/src,contract_input,contract_output,rbac_abac_applies,yes,yes,service_runtime,ready
wlt_finance_review,execute_wlt_finance_review,services/wlt/src,contract_input,contract_output,rbac_abac_applies,yes,no,service_runtime,ready
wlt_finance_approve,execute_wlt_finance_approve,services/wlt/src,contract_input,contract_output,rbac_abac_applies,yes,yes,service_runtime,ready
wlt_sync_dsh,execute_wlt_sync_dsh,services/wlt/src,contract_input,contract_output,rbac_abac_applies,yes,yes,service_runtime,ready
wlt_sync_amn,execute_wlt_sync_amn,services/wlt/src,contract_input,contract_output,rbac_abac_applies,yes,yes,service_runtime,ready
wlt_sync_arb,execute_wlt_sync_arb,services/wlt/src,contract_input,contract_output,rbac_abac_applies,yes,yes,service_runtime,ready
wlt_sync_knz,execute_wlt_sync_knz,services/wlt/src,contract_input,contract_output,rbac_abac_applies,yes,yes,service_runtime,ready
