operation_id,canonical_chain,raw_bypasses_forbidden,verification_rule,current_status
wlt_wallet_get,screen->viewmodel->api-client->service-method->contract,yes,must have chain evidence in test/proof,seeded_locked
wlt_payment_create,screen->viewmodel->api-client->service-method->contract,yes,must have chain evidence in test/proof,seeded_locked
wlt_partner_settlement_get,screen->viewmodel->api-client->service-method->contract,yes,must have chain evidence in test/proof,seeded_locked
wlt_partner_payout_request,screen->viewmodel->api-client->service-method->contract,yes,must have chain evidence in test/proof,seeded_locked
wlt_captain_earnings_get,screen->viewmodel->api-client->service-method->contract,yes,must have chain evidence in test/proof,seeded_locked
wlt_captain_payout_request,screen->viewmodel->api-client->service-method->contract,yes,must have chain evidence in test/proof,seeded_locked
wlt_field_collection_get,screen->viewmodel->api-client->service-method->contract,yes,must have chain evidence in test/proof,seeded_locked
wlt_field_settlement_submit,screen->viewmodel->api-client->service-method->contract,yes,must have chain evidence in test/proof,seeded_locked
wlt_finance_review,screen->viewmodel->api-client->service-method->contract,yes,must have chain evidence in test/proof,seeded_locked
wlt_finance_approve,screen->viewmodel->api-client->service-method->contract,yes,must have chain evidence in test/proof,seeded_locked
wlt_sync_dsh,screen->viewmodel->api-client->service-method->contract,yes,must have chain evidence in test/proof,seeded_locked
wlt_sync_amn,screen->viewmodel->api-client->service-method->contract,yes,must have chain evidence in test/proof,seeded_locked
wlt_sync_arb,screen->viewmodel->api-client->service-method->contract,yes,must have chain evidence in test/proof,seeded_locked
wlt_sync_knz,screen->viewmodel->api-client->service-method->contract,yes,must have chain evidence in test/proof,seeded_locked
