operation_id,runtime_class,fixture_backed,bind_ready,runtime_ready,proof_ready,notes
wlt_wallet_get,preview-only,yes,seeded_for_w08,deferred_to_w09,deferred_to_w09,promotion requires gate C closure
wlt_payment_create,preview-only,yes,seeded_for_w08,deferred_to_w09,deferred_to_w09,promotion requires gate C closure
wlt_partner_settlement_get,preview-only,yes,seeded_for_w08,deferred_to_w09,deferred_to_w09,promotion requires gate C closure
wlt_partner_payout_request,preview-only,yes,seeded_for_w08,deferred_to_w09,deferred_to_w09,promotion requires gate C closure
wlt_captain_earnings_get,preview-only,yes,seeded_for_w08,deferred_to_w09,deferred_to_w09,promotion requires gate C closure
wlt_captain_payout_request,preview-only,yes,seeded_for_w08,deferred_to_w09,deferred_to_w09,promotion requires gate C closure
wlt_field_collection_get,preview-only,yes,seeded_for_w08,deferred_to_w09,deferred_to_w09,promotion requires gate C closure
wlt_field_settlement_submit,preview-only,yes,seeded_for_w08,deferred_to_w09,deferred_to_w09,promotion requires gate C closure
wlt_finance_review,preview-only,yes,seeded_for_w08,deferred_to_w09,deferred_to_w09,promotion requires gate C closure
wlt_finance_approve,preview-only,yes,seeded_for_w08,deferred_to_w09,deferred_to_w09,promotion requires gate C closure
wlt_sync_dsh,preview-only,yes,seeded_for_w08,deferred_to_w09,deferred_to_w09,promotion requires gate C closure
wlt_sync_amn,preview-only,yes,seeded_for_w08,deferred_to_w09,deferred_to_w09,promotion requires gate C closure
wlt_sync_arb,preview-only,yes,seeded_for_w08,deferred_to_w09,deferred_to_w09,promotion requires gate C closure
wlt_sync_knz,preview-only,yes,seeded_for_w08,deferred_to_w09,deferred_to_w09,promotion requires gate C closure
