screen_id,canonical_name,surface,actor,group_name,mapped_wave,related_operations
SCR_1,wlt_app_client_hub,app-client,client,client_wallet_flow,W01_CLIENT_FOUNDATION,wlt_wallet_get|wlt_payment_create
SCR_2,wlt_app_partner_hub,app-partner,partner,partner_wallet_flow,W02_PARTNER_CAPTAIN_FIELD,wlt_partner_settlement_get|wlt_partner_payout_request
SCR_3,wlt_app_captain_hub,app-captain,captain,captain_wallet_flow,W02_PARTNER_CAPTAIN_FIELD,wlt_captain_earnings_get|wlt_captain_payout_request
SCR_4,wlt_app_field_hub,app-field,field,field_wallet_flow,W02_PARTNER_CAPTAIN_FIELD,wlt_field_collection_get|wlt_field_settlement_submit
SCR_5,wlt_control_finance_hub,control-panel,ops|finance,control_finance_ops,W03_CONTROL_FINANCE,wlt_finance_review|wlt_finance_approve|wlt_sync_dsh|wlt_sync_amn|wlt_sync_arb|wlt_sync_knz
SCR_6,wlt_wallet_get,app-client,client,client_wallet_flow,W01_CLIENT_FOUNDATION,wlt_wallet_get
SCR_7,wlt_partner_settlement_get,app-partner,partner,partner_wallet_flow,W02_PARTNER_CAPTAIN_FIELD,wlt_partner_settlement_get
SCR_8,wlt_captain_earnings_get,app-captain,captain,captain_wallet_flow,W02_PARTNER_CAPTAIN_FIELD,wlt_captain_earnings_get
SCR_9,wlt_field_collection_get,app-field,field,field_wallet_flow,W02_PARTNER_CAPTAIN_FIELD,wlt_field_collection_get
SCR_10,wlt_finance_review,control-panel,ops|finance,control_finance_ops,W03_CONTROL_FINANCE,wlt_finance_review
SCR_11,wlt_payment_create,app-client,client,client_wallet_flow,W01_CLIENT_FOUNDATION,wlt_payment_create
SCR_12,wlt_partner_payout_request,app-partner,partner,partner_wallet_flow,W02_PARTNER_CAPTAIN_FIELD,wlt_partner_payout_request
SCR_13,wlt_captain_payout_request,app-captain,captain,captain_wallet_flow,W02_PARTNER_CAPTAIN_FIELD,wlt_captain_payout_request
SCR_14,wlt_field_settlement_submit,app-field,field,field_wallet_flow,W02_PARTNER_CAPTAIN_FIELD,wlt_field_settlement_submit
SCR_15,wlt_finance_approve,control-panel,ops|finance,control_finance_ops,W03_CONTROL_FINANCE,wlt_finance_approve
SCR_16,wlt_payment_methods_list,app-client,client,client_payment_settlement_flow,W04_PAYMENT_AND_SETTLEMENT,wlt_payment_methods_list
SCR_17,wlt_intent_create,app-client,client,client_payment_settlement_flow,W04_PAYMENT_AND_SETTLEMENT,wlt_intent_create
SCR_18,wlt_intent_confirm,app-client,client,client_payment_settlement_flow,W04_PAYMENT_AND_SETTLEMENT,wlt_intent_confirm
SCR_19,wlt_settlements_list,app-client,client,client_payment_settlement_flow,W04_PAYMENT_AND_SETTLEMENT,wlt_settlements_list
SCR_20,wlt_settlement_get,app-client,client,client_payment_settlement_flow,W04_PAYMENT_AND_SETTLEMENT,wlt_settlement_get
SCR_21,wlt_settlement_create,app-partner,partner,partner_wallet_flow,W04_PAYMENT_AND_SETTLEMENT,wlt_settlement_create
SCR_22,wlt_balance_get,app-client,client,client_wallet_flow,W05_DONOR_PARITY_EXTENDED,wlt_balance_get
SCR_23,wlt_topup,app-client,client,client_wallet_flow,W05_DONOR_PARITY_EXTENDED,wlt_topup
SCR_24,wlt_withdraw_request,app-client,client,client_wallet_flow,W05_DONOR_PARITY_EXTENDED,wlt_withdraw_request
SCR_25,wlt_transfer_create,app-client,client,client_wallet_flow,W05_DONOR_PARITY_EXTENDED,wlt_transfer_create
SCR_26,wlt_transfers_list,app-client,client,client_wallet_flow,W05_DONOR_PARITY_EXTENDED,wlt_transfers_list
SCR_27,wlt_transfer_get,app-client,client,client_wallet_flow,W05_DONOR_PARITY_EXTENDED,wlt_transfer_get
SCR_28,wlt_refund_create,app-client,client,client_wallet_flow,W05_DONOR_PARITY_EXTENDED,wlt_refund_create
SCR_29,wlt_refund_get,app-client,client,client_wallet_flow,W05_DONOR_PARITY_EXTENDED,wlt_refund_get
SCR_30,wlt_payout_get,app-partner,partner,partner_wallet_flow,W05_DONOR_PARITY_EXTENDED,wlt_payout_get
SCR_31,wlt_payouts_list,app-partner,partner,partner_wallet_flow,W05_DONOR_PARITY_EXTENDED,wlt_payouts_list
SCR_32,wlt_payout_approve,app-partner,partner,partner_wallet_flow,W05_DONOR_PARITY_EXTENDED,wlt_payout_approve
SCR_33,wlt_partner_ledger_get,app-partner,partner,partner_wallet_flow,W05_DONOR_PARITY_EXTENDED,wlt_partner_ledger_get
SCR_34,wlt_partner_finance_overview,app-partner,partner,partner_wallet_flow,W05_DONOR_PARITY_EXTENDED,wlt_partner_finance_overview
