operation_id,family,operation_type,trigger,preconditions,steps,state_effect,success_outcome,failure_modes,retry_policy,binding_chain,source_trace
wlt_wallet_get,wlt_finance,READ,query_or_screen_load,actor entitlement + valid context,authorize->query->normalize->project,read_projection,normalized response + updated screen state,validation_error|policy_denied|upstream_failure,retry_safe,screen->viewmodel->api-client->service-method->contract,docs/services/wlt/07_OPERATION_CATALOG.csv
wlt_payment_create,wlt_finance,MUTATION,primary_cta_or_workflow_step,actor entitlement + valid input,authorize->validate->mutate->project,state_transition,normalized response + updated screen state,validation_error|policy_denied|upstream_failure,retry_with_idempotency,screen->viewmodel->api-client->service-method->contract,docs/services/wlt/07_OPERATION_CATALOG.csv
wlt_finance_review,wlt_finance,READ,query_or_screen_load,finance entitlement + valid context,authorize->query->normalize->project,read_projection,normalized response + updated screen state,validation_error|policy_denied|upstream_failure,retry_safe,screen->viewmodel->api-client->service-method->contract,docs/services/wlt/07_OPERATION_CATALOG.csv
wlt_finance_approve,wlt_finance,MUTATION,primary_cta_or_workflow_step,finance entitlement + valid input,authorize->validate->mutate->project,state_transition,normalized response + updated screen state,validation_error|policy_denied|upstream_failure,retry_with_idempotency,screen->viewmodel->api-client->service-method->contract,docs/services/wlt/07_OPERATION_CATALOG.csv
wlt_sync_dsh,wlt_integration,MUTATION,primary_cta_or_workflow_step,integration entitlement + valid payload,authorize->validate->mutate->project,state_transition,normalized response + updated screen state,validation_error|policy_denied|upstream_failure,retry_with_idempotency,screen->viewmodel->api-client->service-method->contract,docs/services/wlt/07_OPERATION_CATALOG.csv
wlt_sync_amn,wlt_integration,MUTATION,primary_cta_or_workflow_step,integration entitlement + valid payload,authorize->validate->mutate->project,state_transition,normalized response + updated screen state,validation_error|policy_denied|upstream_failure,retry_with_idempotency,screen->viewmodel->api-client->service-method->contract,docs/services/wlt/07_OPERATION_CATALOG.csv
wlt_sync_arb,wlt_integration,MUTATION,primary_cta_or_workflow_step,integration entitlement + valid payload,authorize->validate->mutate->project,state_transition,normalized response + updated screen state,validation_error|policy_denied|upstream_failure,retry_with_idempotency,screen->viewmodel->api-client->service-method->contract,docs/services/wlt/07_OPERATION_CATALOG.csv
wlt_sync_knz,wlt_integration,MUTATION,primary_cta_or_workflow_step,integration entitlement + valid payload,authorize->validate->mutate->project,state_transition,normalized response + updated screen state,validation_error|policy_denied|upstream_failure,retry_with_idempotency,screen->viewmodel->api-client->service-method->contract,docs/services/wlt/07_OPERATION_CATALOG.csv
wlt_partner_settlement_get,wlt_finance,READ,query_or_screen_load,actor entitlement + valid context,authorize->query->normalize->project,read_projection,normalized response + updated screen state,validation_error|policy_denied|upstream_failure,retry_safe,screen->viewmodel->api-client->service-method->contract,docs/services/wlt/07_OPERATION_CATALOG.csv
wlt_partner_payout_request,wlt_finance,MUTATION,primary_cta_or_workflow_step,actor entitlement + valid input,authorize->validate->mutate->project,state_transition,normalized response + updated screen state,validation_error|policy_denied|upstream_failure,retry_with_idempotency,screen->viewmodel->api-client->service-method->contract,docs/services/wlt/07_OPERATION_CATALOG.csv
wlt_captain_earnings_get,wlt_finance,READ,query_or_screen_load,actor entitlement + valid context,authorize->query->normalize->project,read_projection,normalized response + updated screen state,validation_error|policy_denied|upstream_failure,retry_safe,screen->viewmodel->api-client->service-method->contract,docs/services/wlt/07_OPERATION_CATALOG.csv
wlt_captain_payout_request,wlt_finance,MUTATION,primary_cta_or_workflow_step,actor entitlement + valid input,authorize->validate->mutate->project,state_transition,normalized response + updated screen state,validation_error|policy_denied|upstream_failure,retry_with_idempotency,screen->viewmodel->api-client->service-method->contract,docs/services/wlt/07_OPERATION_CATALOG.csv
wlt_field_collection_get,wlt_finance,READ,query_or_screen_load,actor entitlement + valid context,authorize->query->normalize->project,read_projection,normalized response + updated screen state,validation_error|policy_denied|upstream_failure,retry_safe,screen->viewmodel->api-client->service-method->contract,docs/services/wlt/07_OPERATION_CATALOG.csv
wlt_field_settlement_submit,wlt_finance,MUTATION,primary_cta_or_workflow_step,actor entitlement + valid input,authorize->validate->mutate->project,state_transition,normalized response + updated screen state,validation_error|policy_denied|upstream_failure,retry_with_idempotency,screen->viewmodel->api-client->service-method->contract,docs/services/wlt/07_OPERATION_CATALOG.csv
wlt_payment_methods_list,wlt_payment,READ,query_or_screen_load,actor entitlement + valid context,authorize->query->normalize->project,read_projection,normalized response + updated screen state,validation_error|policy_denied|upstream_failure,retry_safe,screen->viewmodel->api-client->service-method->contract,services/wlt/governance/WLT_OPERATION_CATALOG.csv
wlt_intent_create,wlt_payment,MUTATION,primary_cta_or_workflow_step,actor entitlement + valid input,authorize->validate->mutate->project,state_transition,normalized response + updated screen state,validation_error|policy_denied|upstream_failure,retry_with_idempotency,screen->viewmodel->api-client->service-method->contract,services/wlt/governance/WLT_OPERATION_CATALOG.csv
wlt_intent_confirm,wlt_payment,MUTATION,primary_cta_or_workflow_step,actor entitlement + valid input,authorize->validate->mutate->project,state_transition,normalized response + updated screen state,validation_error|policy_denied|upstream_failure,retry_with_idempotency,screen->viewmodel->api-client->service-method->contract,services/wlt/governance/WLT_OPERATION_CATALOG.csv
wlt_settlements_list,wlt_settlement,READ,query_or_screen_load,actor entitlement + valid context,authorize->query->normalize->project,read_projection,normalized response + updated screen state,validation_error|policy_denied|upstream_failure,retry_safe,screen->viewmodel->api-client->service-method->contract,services/wlt/governance/WLT_OPERATION_CATALOG.csv
wlt_settlement_get,wlt_settlement,READ,query_or_screen_load,actor entitlement + valid context,authorize->query->normalize->project,read_projection,normalized response + updated screen state,validation_error|policy_denied|upstream_failure,retry_safe,screen->viewmodel->api-client->service-method->contract,services/wlt/governance/WLT_OPERATION_CATALOG.csv
wlt_settlement_create,wlt_settlement,MUTATION,primary_cta_or_workflow_step,actor entitlement + valid input,authorize->validate->mutate->project,state_transition,normalized response + updated screen state,validation_error|policy_denied|upstream_failure,retry_with_idempotency,screen->viewmodel->api-client->service-method->contract,services/wlt/governance/WLT_OPERATION_CATALOG.csv
wlt_balance_get,wlt_wallet,READ,query_or_screen_load,actor entitlement + valid context,authorize->query->normalize->project,read_projection,normalized response + updated screen state,validation_error|policy_denied|upstream_failure,retry_safe,screen->viewmodel->api-client->service-method->contract,services/wlt/governance/WLT_OPERATION_CATALOG.csv
wlt_topup,wlt_wallet,MUTATION,primary_cta_or_workflow_step,actor entitlement + valid input,authorize->validate->mutate->project,state_transition,normalized response + updated screen state,validation_error|policy_denied|upstream_failure,retry_with_idempotency,screen->viewmodel->api-client->service-method->contract,services/wlt/governance/WLT_OPERATION_CATALOG.csv
wlt_withdraw_request,wlt_wallet,MUTATION,primary_cta_or_workflow_step,actor entitlement + valid input,authorize->validate->mutate->project,state_transition,normalized response + updated screen state,validation_error|policy_denied|upstream_failure,retry_with_idempotency,screen->viewmodel->api-client->service-method->contract,services/wlt/governance/WLT_OPERATION_CATALOG.csv
wlt_transfer_create,wlt_transfer,MUTATION,primary_cta_or_workflow_step,actor entitlement + valid input,authorize->validate->mutate->project,state_transition,normalized response + updated screen state,validation_error|policy_denied|upstream_failure,retry_with_idempotency,screen->viewmodel->api-client->service-method->contract,services/wlt/governance/WLT_OPERATION_CATALOG.csv
wlt_transfers_list,wlt_transfer,READ,query_or_screen_load,actor entitlement + valid context,authorize->query->normalize->project,read_projection,normalized response + updated screen state,validation_error|policy_denied|upstream_failure,retry_safe,screen->viewmodel->api-client->service-method->contract,services/wlt/governance/WLT_OPERATION_CATALOG.csv
wlt_transfer_get,wlt_transfer,READ,query_or_screen_load,actor entitlement + valid context,authorize->query->normalize->project,read_projection,normalized response + updated screen state,validation_error|policy_denied|upstream_failure,retry_safe,screen->viewmodel->api-client->service-method->contract,services/wlt/governance/WLT_OPERATION_CATALOG.csv
wlt_refund_create,wlt_refund,MUTATION,primary_cta_or_workflow_step,actor entitlement + valid input,authorize->validate->mutate->project,state_transition,normalized response + updated screen state,validation_error|policy_denied|upstream_failure,retry_with_idempotency,screen->viewmodel->api-client->service-method->contract,services/wlt/governance/WLT_OPERATION_CATALOG.csv
