review_id,branch,commit,surface,screen_id,file_path,queue_list,priority,state,device,viewport,locale,direction,screenshot_path,result,issue_type,issue_summary,owner_decision_required,linked_gap_ids,reviewer,reviewed_at,next_action,review_doc_path
VR-L1-001,ghb/0144-20260516-033533-local-change-review-patch,cae3c7bf,app-client,client.dsh.home.feed,dsh/frontend/app-client/screens/HomeScreen.tsx,LIST_1_READY_NOW,P1,WIRED_IN_FLOW,TBD,TBD,ar,rtl,dsh/docs/DSH_VISUAL_REVIEW/screenshots/app-client/P1__app-client__client.dsh.home.feed__WIRED_IN_FLOW__TBD__rtl__NOT_REVIEWED.png,NOT_REVIEWED,,,false,,,,AWAIT_SCREENSHOT,dsh/docs/DSH_VISUAL_REVIEW/reviews/app-client/VR-L1-001__client.dsh.home.feed.md
VR-L1-002,ghb/0144-20260516-033533-local-change-review-patch,cae3c7bf,app-client,client.dsh.cart.review,dsh/frontend/app-client/screens/CartScreen.tsx,LIST_1_READY_NOW,P1,WIRED_IN_FLOW,TBD,TBD,ar,rtl,dsh/docs/DSH_VISUAL_REVIEW/screenshots/app-client/P1__app-client__client.dsh.cart.review__WIRED_IN_FLOW__TBD__rtl__NOT_REVIEWED.png,NOT_REVIEWED,,,false,,,,AWAIT_SCREENSHOT,dsh/docs/DSH_VISUAL_REVIEW/reviews/app-client/VR-L1-002__client.dsh.cart.review.md
VR-L1-003,ghb/0144-20260516-033533-local-change-review-patch,cae3c7bf,app-client,client.dsh.order.tracking.live,dsh/frontend/app-client/screens/OrdersTrackingScreens.tsx,LIST_1_READY_NOW,P1,WIRED_IN_FLOW,TBD,TBD,ar,rtl,dsh/docs/DSH_VISUAL_REVIEW/screenshots/app-client/P1__app-client__client.dsh.order.tracking.live__WIRED_IN_FLOW__TBD__rtl__NOT_REVIEWED.png,NOT_REVIEWED,,,false,ML-008,,,AWAIT_SCREENSHOT,dsh/docs/DSH_VISUAL_REVIEW/reviews/app-client/VR-L1-003__client.dsh.order.tracking.live.md
VR-L1-004,ghb/0144-20260516-033533-local-change-review-patch,cae3c7bf,app-client,client.dsh.orders.history,dsh/frontend/app-client/screens/OrdersTrackingScreens.tsx,LIST_1_READY_NOW,P1,WIRED_IN_FLOW,TBD,TBD,ar,rtl,dsh/docs/DSH_VISUAL_REVIEW/screenshots/app-client/P1__app-client__client.dsh.orders.history__WIRED_IN_FLOW__TBD__rtl__NOT_REVIEWED.png,NOT_REVIEWED,,,false,,,,AWAIT_SCREENSHOT,dsh/docs/DSH_VISUAL_REVIEW/reviews/app-client/VR-L1-004__client.dsh.orders.history.md
VR-L1-005,ghb/0144-20260516-033533-local-change-review-patch,cae3c7bf,app-client,client.dsh.store.details,dsh/frontend/app-client/screens/StoreScreen.tsx,LIST_1_READY_NOW,P1,WIRED_IN_FLOW,TBD,TBD,ar,rtl,dsh/docs/DSH_VISUAL_REVIEW/screenshots/app-client/P1__app-client__client.dsh.store.details__WIRED_IN_FLOW__TBD__rtl__NOT_REVIEWED.png,NOT_REVIEWED,,,false,,,,AWAIT_SCREENSHOT,dsh/docs/DSH_VISUAL_REVIEW/reviews/app-client/VR-L1-005__client.dsh.store.details.md
VR-L1-006,ghb/0144-20260516-033533-local-change-review-patch,cae3c7bf,app-client,client.dsh.order.issue.workspace,dsh/frontend/app-client/screens/OperationScreens.tsx,LIST_1_READY_NOW,P1,WIRED_IN_FLOW,TBD,TBD,ar,rtl,dsh/docs/DSH_VISUAL_REVIEW/screenshots/app-client/P1__app-client__client.dsh.order.issue.workspace__WIRED_IN_FLOW__TBD__rtl__NOT_REVIEWED.png,NOT_REVIEWED,,,true,ML-011,,,AWAIT_SCREENSHOT,dsh/docs/DSH_VISUAL_REVIEW/reviews/app-client/VR-L1-006__client.dsh.order.issue.workspace.md
VR-L1-007,ghb/0144-20260516-033533-local-change-review-patch,cae3c7bf,app-partner,partner.dsh.orders.inbox,dsh/frontend/app-partner/screens/OrdersInboxScreen.tsx,LIST_1_READY_NOW,P1,WIRED_IN_FLOW,TBD,TBD,ar,rtl,dsh/docs/DSH_VISUAL_REVIEW/screenshots/app-partner/P1__app-partner__partner.dsh.orders.inbox__WIRED_IN_FLOW__TBD__rtl__NOT_REVIEWED.png,NOT_REVIEWED,,,false,ML-016,,,AWAIT_SCREENSHOT,dsh/docs/DSH_VISUAL_REVIEW/reviews/app-partner/VR-L1-007__partner.dsh.orders.inbox.md
VR-L1-008,ghb/0144-20260516-033533-local-change-review-patch,cae3c7bf,app-partner,partner.dsh.order.detail,dsh/frontend/app-partner/screens/OrdersInboxScreen.tsx,LIST_1_READY_NOW,P1,WIRED_IN_FLOW,TBD,TBD,ar,rtl,dsh/docs/DSH_VISUAL_REVIEW/screenshots/app-partner/P1__app-partner__partner.dsh.order.detail__WIRED_IN_FLOW__TBD__rtl__NOT_REVIEWED.png,NOT_REVIEWED,,,false,"ML-018 ML-019 ML-020",,,AWAIT_SCREENSHOT,dsh/docs/DSH_VISUAL_REVIEW/reviews/app-partner/VR-L1-008__partner.dsh.order.detail.md
VR-L1-009,ghb/0144-20260516-033533-local-change-review-patch,cae3c7bf,app-partner,partner.dsh.inventory.catalog,dsh/frontend/app-partner/screens/InventoryCatalogScreen.tsx,LIST_1_READY_NOW,P1,WIRED_IN_FLOW,TBD,TBD,ar,rtl,dsh/docs/DSH_VISUAL_REVIEW/screenshots/app-partner/P1__app-partner__partner.dsh.inventory.catalog__WIRED_IN_FLOW__TBD__rtl__NOT_REVIEWED.png,NOT_REVIEWED,,,false,CG-020,,,AWAIT_SCREENSHOT,dsh/docs/DSH_VISUAL_REVIEW/reviews/app-partner/VR-L1-009__partner.dsh.inventory.catalog.md
VR-L1-010,ghb/0144-20260516-033533-local-change-review-patch,cae3c7bf,app-partner,partner.dsh.order.rejection,dsh/frontend/app-partner/screens/DshPartnerOrderRejectionScreen.tsx,LIST_1_READY_NOW,P1,WIRED_IN_FLOW,TBD,TBD,ar,rtl,dsh/docs/DSH_VISUAL_REVIEW/screenshots/app-partner/P1__app-partner__partner.dsh.order.rejection__WIRED_IN_FLOW__TBD__rtl__NOT_REVIEWED.png,NOT_REVIEWED,,,false,CG-022,,,AWAIT_SCREENSHOT,dsh/docs/DSH_VISUAL_REVIEW/reviews/app-partner/VR-L1-010__partner.dsh.order.rejection.md
