screen_id,screen_label,surface,screen_role,canonical_family,canonical_operation_keys,journey_coverage,entry_rule,exit_rule,source_candidates,attached_supporting_items,notes
dsh_client_entry_discovery_home,Client Entry And Discovery Home,app-client,primary,client_discovery_entry,dsh_store_discovery,happy_path|fast_path,entry,category_or_store_detail_or_cart,dsh_client_entry_discovery_home|dsh_client_discovery_split_variants,none,customer-only lawful discovery entry
dsh_client_category_or_store_detail,Client Category Or Store Detail,app-client,primary,client_detail_selection,dsh_store_discovery,happy_path|fast_path,entry_discovery_home,cart_review,dsh_client_category_or_store_detail|dsh_client_discovery_split_variants,none,detail selection remains separate from cart
dsh_client_cart_review,Client Cart Review,app-client,primary,client_cart_review,dsh_cart_checkout_gate,happy_path|fast_path|checkout_block,category_or_store_detail,checkout_confirm_or_block,dsh_client_cart_review,none,single cart workspace
dsh_client_checkout_confirm,Client Checkout Confirm,app-client,primary,client_checkout_confirm,dsh_cart_checkout_gate,happy_path|fast_path|checkout_block,cart_review,order_submit_or_block,dsh_client_checkout_confirm,dsh_client_checkout_block_state,blocking condition remains a state shell
dsh_client_active_order_tracking,Client Active Order Tracking,app-client,primary,client_active_tracking,dsh_customer_order_tracking,happy_path|fast_path|returning_user_tracking|terminal_cancelled,order_submit_or_completion,exit,dsh_client_active_order_tracking,dsh_client_order_chat_companion|dsh_client_cancelled_terminal_state,customer visibility surface
dsh_client_proxy_request_entry,Client Proxy Request Entry,app-client,primary,client_proxy_entry,dsh_proxy_request_flow,proxy_exception,entry,proxy_request_tracking_or_exit,dsh_client_proxy_request_entry,none,customer-side exception entry
dsh_client_proxy_request_tracking,Client Proxy Request Tracking,app-client,primary,client_proxy_tracking,dsh_proxy_request_flow,proxy_exception|returning_user_tracking,proxy_request_entry,exit,dsh_client_proxy_request_tracking,none,customer reflection surface for proxy outcomes
dsh_partner_orders_board,Partner Orders Board,app-partner,primary,partner_orders_board,dsh_partner_order_handling,happy_path|fast_path|partner_path,entry,partner_order_workspace,dsh_partner_orders_board,none,partner entry board
dsh_partner_order_workspace,Partner Order Workspace,app-partner,primary,partner_order_workspace,dsh_partner_order_handling,happy_path|fast_path|partner_path|partner_block,orders_board,handoff_or_issue,dsh_partner_order_workspace|dsh_partner_order_step_variants,dsh_partner_chat_companion|dsh_partner_handoff_action,single active partner workspace
dsh_partner_store_maintenance_workspace,Partner Store Maintenance Workspace,app-partner,support,partner_store_maintenance,dsh_partner_store_maintenance,partner_path|partner_block,orders_board_or_workspace,orders_board_or_workspace,dsh_partner_store_maintenance_workspace,none,repair surface for local partner blockers
dsh_partner_order_issue_queue,Partner Order Issue Queue,app-partner,internal,partner_exception_queue,dsh_partner_order_handling,partner_block,partner_order_workspace,partner_order_workspace,dsh_partner_order_issue_queue,none,internal exception queue only
dsh_captain_offers_list,Captain Offers List,app-captain,primary,captain_offers_entry,dsh_captain_offer_and_acceptance,happy_path|fast_path|captain_path|captain_block,entry,captain_execution_workspace,dsh_captain_offers_list,none,captain entry list
dsh_captain_execution_workspace,Captain Execution Workspace,app-captain,primary,captain_execution_workspace,dsh_captain_offer_and_acceptance|dsh_captain_delivery_execution,happy_path|fast_path|captain_path|captain_block,offers_list,proof_or_terminal,dsh_captain_execution_workspace|dsh_captain_order_step_variants,dsh_captain_chat_companion|dsh_captain_reject_action,single captain execution surface
dsh_captain_proof_capture,Captain Proof Capture,app-captain,support,captain_proof_capture,dsh_delivery_proof_and_verification,happy_path|captain_path,captain_execution_workspace,customer_tracking_or_exit,dsh_captain_proof_capture,none,explicit proof gate
dsh_field_activation_workspace,Field Activation Workspace,app-field,optional_support,field_activation_workspace,dsh_field_activation_support,field_path|field_unavailable,entry,geo_pin_or_visit_log_or_exit,dsh_field_activation_workspace,dsh_field_geo_pin_companion|dsh_field_visit_log_companion,optional support branch only
dsh_ops_orders_board,DSH Ops Orders Board,control-panel,primary,ops_orders_board,dsh_ops_governance_controls,ops_path|partner_block|captain_block,entry,ops_order_detail_exception_workspace_or_proxy_list,dsh_ops_orders_board|dsh_ops_entry_split_variants,none,canonical internal entry board
dsh_ops_order_detail_exception_workspace,DSH Ops Order Detail Exception Workspace,control-panel,primary,ops_exception_workspace,dsh_ops_governance_controls,ops_path|partner_block|captain_block,ops_orders_board,ops_orders_board_or_exit,dsh_ops_order_detail_exception_workspace,none,exception handling remains separate from the board
dsh_ops_peak_mode_control,DSH Ops Peak Mode Control,control-panel,support,ops_peak_mode_control,dsh_ops_governance_controls,ops_path,ops_orders_board,ops_orders_board,dsh_ops_peak_mode_control,none,internal policy control surface
dsh_proxy_requests_list,Proxy Requests List,control-panel,support,ops_proxy_list,dsh_proxy_request_flow,proxy_exception,entry_or_ops_board,proxy_request_review_workspace,dsh_proxy_requests_list,none,proxy governance list
dsh_proxy_request_review_workspace,Proxy Request Review Workspace,control-panel,support,ops_proxy_review,dsh_proxy_request_flow,proxy_exception,proxy_requests_list,proxy_requests_list_or_exit,dsh_proxy_request_review_workspace|dsh_proxy_review_split_variants,dsh_proxy_schedule_companion,merged internal proxy review workspace
