screen_id,canonical_name,donor_aliases,unit_type,surface,actor,route,related_operations,related_journeys,primary_cta,states,donor_trace
dsh_client_entry_discovery_home,Client Entry Discovery Home,"auto_dsh_home_get|auto_dsh_categories_list",screen,app-client,customer,candidate:dsh_client_entry_discovery_home,dsh_store_discovery,dsh_journey_mainline_customer_to_delivery,select_store_or_category,"loading|discovery_ready|empty_discovery|error_retry","auto_dsh_home_get.tsx; auto_dsh_categories_list.tsx; packages/surfaces/src/dsh/app-user/mobile"
dsh_client_category_or_store_detail,Client Category Or Store Detail,"auto_dsh_category_get|auto_dsh_store_get|auto_dsh_store_items_list|DshCategoryDetail|DshStoreItemsList",screen,app-client,customer,candidate:dsh_client_category_or_store_detail,dsh_store_discovery,dsh_journey_mainline_customer_to_delivery,add_or_adjust_cart,"loading|detail_ready|empty_listing|item_unavailable|error_retry","auto_dsh_category_get.tsx; auto_dsh_store_get.tsx; DshCategoryDetail.tsx"
dsh_client_cart_review,Client Cart Review,"auto_dsh_cart_get|auto_dsh_cart_item_update|auto_dsh_cart_item_remove|DshCartPrice",screen,app-client,customer,candidate:dsh_client_cart_review,dsh_cart_checkout_gate,dsh_journey_mainline_customer_to_delivery,proceed_to_checkout,"loading|cart_ready|empty_cart|mutation_pending|error_retry","auto_dsh_cart_get.tsx; auto_dsh_cart_item_update.tsx; DshCartPrice.tsx"
dsh_client_checkout_confirm,Client Checkout Confirm,"auto_dsh_checkout_gate|auto_dsh_pricing_preview|DshCheckoutPaymentMethodSelect",screen,app-client,customer,candidate:dsh_client_checkout_confirm,"dsh_cart_checkout_gate|dsh_order_submit",dsh_journey_mainline_customer_to_delivery,submit_order,"loading|checkout_ready|checkout_block|submit_pending|submit_failed","auto_dsh_checkout_gate.tsx; auto_dsh_pricing_preview.tsx; DshCheckoutPaymentMethodSelect.tsx"
dsh_client_active_order_tracking,Client Active Order Tracking,"auto_dsh_orders_list|auto_dsh_order_get|auto_dsh_delivery_track_get|auto_dsh_delivery_eta_get",screen,app-client,customer,candidate:dsh_client_active_order_tracking,"dsh_customer_order_tracking|dsh_customer_order_chat","dsh_journey_mainline_customer_to_delivery|dsh_journey_customer_tracking_resume",refresh_tracking,"loading|tracking_active|completed_terminal|cancelled_terminal|error_retry","auto_dsh_orders_list.tsx; auto_dsh_order_get.tsx; auto_dsh_delivery_track_get.tsx"
dsh_client_proxy_request_entry,Client Proxy Request Entry,"dsh_proxy_request_create|dsh_proxy_request_estimate|operations/dsh/sheinproxy/page",screen,app-client,customer,candidate:dsh_client_proxy_request_entry,dsh_proxy_request_flow,dsh_journey_proxy_exception,submit_proxy_request,"loading|proxy_form_ready|input_invalid|submit_pending|submit_failed","DSH_OPERATION_CATALOG.csv; apps/web/mcpw/app/operations/dsh/sheinproxy/page.tsx"
dsh_client_proxy_request_tracking,Client Proxy Request Tracking,"auto_dsh_proxy_request_tracking|dsh_proxy_request_offer|dsh_proxy_request_schedule",screen,app-client,customer,candidate:dsh_client_proxy_request_tracking,dsh_proxy_request_flow,dsh_journey_proxy_exception,refresh_proxy_status,"loading|pending_review|decision_reflected|closed|error_retry","auto_dsh_proxy_request_tracking.tsx; DSH_OPERATION_CATALOG.csv"
dsh_partner_orders_board,Partner Orders Board,"auto_dsh_partner_orders_list|DshPartnerOrdersList",screen,app-partner,partner,candidate:dsh_partner_orders_board,dsh_partner_order_handling,"dsh_journey_mainline_customer_to_delivery|dsh_journey_partner_block_recovery",open_next_order_workspace,"loading|board_ready|empty_queue|refreshing|error_retry","auto_dsh_partner_orders_list.tsx; DshPartnerOrdersList.tsx"
dsh_partner_order_workspace,Partner Order Workspace,"auto_dsh_partner_order_get|auto_dsh_partner_order_accept|auto_dsh_partner_order_prepare|auto_dsh_partner_order_ready|auto_dsh_partner_order_handoff|auto_dsh_partner_order_out_for_delivery|auto_dsh_partner_order_store_delivered",screen,app-partner,partner,candidate:dsh_partner_order_workspace,"dsh_partner_order_handling|dsh_customer_order_chat","dsh_journey_mainline_customer_to_delivery|dsh_journey_partner_block_recovery",advance_order_to_next_partner_state,"loading|workspace_ready|progress_pending|handoff_pending|partner_block","auto_dsh_partner_order_get.tsx; auto_dsh_partner_order_handoff.tsx"
dsh_partner_store_maintenance_workspace,Partner Store Maintenance Workspace,"auto_dsh_partner_store_get|auto_dsh_partner_store_update|auto_dsh_partner_inventory_update|auto_dsh_partner_delivery_zones_update|auto_dsh_partner_store_service_modes_update|auto_dsh_partner_zone_set",screen,app-partner,partner,candidate:dsh_partner_store_maintenance_workspace,dsh_partner_store_maintenance,dsh_journey_partner_block_recovery,apply_store_readiness_fix,"loading|maintenance_ready|save_pending|save_success|save_error","auto_dsh_partner_store_get.tsx; auto_dsh_partner_delivery_zones_update.tsx"
