key	relativePath	width	height	role
dsh.product.apple.v1	assets/seed/dsh/products/dsh-product-apple-v1.png	800	600	product-image
dsh.product.bread.v1	assets/seed/dsh/products/dsh-product-bread-v1.png	800	600	product-image
dsh.product.chicken.v1	assets/seed/dsh/products/dsh-product-chicken-v1.png	800	600	product-image
dsh.product.choco.v1	assets/seed/dsh/products/dsh-product-choco-v1.png	800	600	product-image
dsh.product.croissant.v1	assets/seed/dsh/products/dsh-product-croissant-v1.png	800	600	product-image
dsh.product.milk.v1	assets/seed/dsh/products/dsh-product-milk-v1.png	800	600	product-image
dsh.product.pasta.v1	assets/seed/dsh/products/dsh-product-pasta-v1.png	800	600	product-image
dsh.product.roll.v1	assets/seed/dsh/products/dsh-product-roll-v1.png	800	600	product-image
dsh.product.salad.v1	assets/seed/dsh/products/dsh-product-salad-v1.png	800	600	product-image
dsh.product.yogurt.v1	assets/seed/dsh/products/dsh-product-yogurt-v1.png	800	600	product-image
dsh.store.hadda.cover.v1	assets/seed/dsh/stores/dsh-store-hadda-cover-v1.png	900	700	store-cover
dsh.store.hittin.cover.v1	assets/seed/dsh/stores/dsh-store-hittin-cover-v1.png	900	700	store-cover
dsh.store.malqa.cover.v1	assets/seed/dsh/stores/dsh-store-malqa-cover-v1.png	900	700	store-cover
