path,category,ext,size_bytes,size_kb,lines,risk_flags
.dependency-cruiser.cjs,other,.cjs,1409,1.38,45,
.gitattributes,other,[noext],152,0.15,5,
.gitignore,other,[noext],1166,1.14,58,
.gitleaks.toml,other,.toml,749,0.73,27,
.spectral.yaml,other,.yaml,154,0.15,10,
AGENTS.md,other,.md,7044,6.88,110,
CLAUDE.md,other,.md,2193,2.14,42,
GEMINI.md,other,.md,2193,2.14,42,
README.md,other,.md,1789,1.75,38,
analyze_uikit.ps1,other,.ps1,7069,6.9,17,
auth.openapi.yaml,contract-openapi,.yaml,109,0.11,6,CONTRACT_TBD;OPENAPI_EMPTY_PATHS
bthwani-suite.code-workspace,other,.code-workspace,397,0.39,29,
eslint.config.mjs,other,.mjs,1521,1.49,55,
master.openapi.yaml,contract-openapi,.yaml,468,0.46,17,OPENAPI_EMPTY_PATHS
nx.json,other,.json,280,0.27,16,
opencode.json,other,.json,156,0.15,13,
package.json,other,.json,4324,4.22,68,
pnpm-lock.yaml,other,.yaml,439296,429.0,11275,GIANT_GT70KB
pnpm-workspace.yaml,other,.yaml,271,0.26,20,
projects.json,other,.json,22375,21.85,745,
tamagui.build.ts,other,.ts,263,0.26,9,
tamagui.config.ts,other,.ts,116,0.11,3,
temp-controlpanel.html,other,.html,47711,46.59,326,LARGE_GT40KB
tmp_diff.txt,other,.txt,29107,28.42,376,VISUAL_REVIEW_TEMPLATE_ONLY
tsconfig.base.json,other,.json,3923,3.83,175,
tsconfig.json,other,.json,96,0.09,6,
window_dump.xml,other,.xml,26412,25.79,1,
.agents/AUTHORITY_BOUNDARY.md,agents,.md,1645,1.61,40,
.agents/INDEX.md,agents,.md,5089,4.97,78,
.agents/README.md,agents,.md,837,0.82,25,
.agents/RESTORE_DECISION.md,agents,.md,654,0.64,28,
.agents/SKILL_CATALOG.md,agents,.md,6317,6.17,36,
.agents/UPDATE_POLICY.md,agents,.md,1632,1.59,41,
.claude/settings.json,other,.json,294,0.29,17,
.codex/config.toml,other,.toml,336,0.33,11,
.gemini/settings.json,other,.json,147,0.14,13,
.github/CODEOWNERS,ci-github,[noext],485,0.47,15,
.github/copilot-instructions.md,ci-github,.md,962,0.94,26,
.husky/pre-commit,other,[noext],78,0.08,4,
.idea/.gitignore,other,[noext],50,0.05,4,
.idea/bthwani-suite.iml,other,.iml,344,0.34,9,
.idea/deviceManager.xml,other,.xml,363,0.35,13,
.idea/markdown.xml,other,.xml,314,0.31,8,
.idea/misc.xml,other,.xml,145,0.14,5,
.idea/modules.xml,other,.xml,285,0.28,8,
.idea/vcs.xml,other,.xml,172,0.17,6,
.vscode/extensions.json,other,.json,65,0.06,6,
.vscode/mcp.json,other,.json,19,0.02,3,
.vscode/settings.json,other,.json,109,0.11,5,
.vscode/tasks.json,other,.json,2968,2.9,148,
amn/SERVICE_BLUEPRINT.md,service:other,.md,15518,15.15,398,CONTRACT_TBD
amn/amn.openapi.yaml,service:other,.yaml,104,0.1,7,CONTRACT_TBD;OPENAPI_EMPTY_PATHS
amn/index.ts,service:other,.ts,240,0.23,6,
amn/service-catalog.ts,service:other,.ts,95,0.09,6,
amn/service-meta.ts,service:other,.ts,272,0.27,17,
app-captain/project.json,surface-shell,.json,979,0.96,39,
app-client/project.json,surface-shell,.json,984,0.96,39,
app-field/project.json,surface-shell,.json,963,0.94,39,
app-partner/project.json,surface-shell,.json,979,0.96,39,
arb/SERVICE_BLUEPRINT.md,service:other,.md,15926,15.55,400,CONTRACT_TBD
arb/arb.openapi.yaml,service:other,.yaml,104,0.1,7,CONTRACT_TBD;OPENAPI_EMPTY_PATHS
arb/index.ts,service:other,.ts,293,0.29,7,
arb/service-catalog.ts,service:other,.ts,110,0.11,7,
arb/service-meta.ts,service:other,.ts,318,0.31,20,
control-panel/project.json,surface-shell,.json,431,0.42,21,
docs/control-panel-premium-2026-audit.md,other,.md,13339,13.03,384,
dsh/SERVICE_BLUEPRINT.md,service:dsh,.md,6648,6.49,153,NEEDS_VISUAL_EVIDENCE_TEXT
dsh/dsh.openapi.yaml,service:dsh,.yaml,271,0.26,14,CONTRACT_TBD;OPENAPI_EMPTY_PATHS
dsh/index.ts,service:dsh,.ts,28,0.03,2,
