folder,role,total_files,total_dirs,direct_files,direct_dirs,size_kb,risk_flags
.agents,agent-system,59,43,6,2,215.92,MANY_FILES
.claude,other,1,0,1,0,0.29,
.codex,other,2,1,1,1,1.94,
.gemini,other,2,1,1,1,17.99,
.github,other,11,2,2,2,27.27,
.husky,other,1,0,1,0,0.08,
.idea,other,8,1,7,1,78.22,
.opencode,other,2,2,0,2,19.79,
.vscode,other,4,0,4,0,3.09,
amn,service-root,36,14,5,4,21.79,
app-captain,surface-shell,17,7,1,4,9.92,
app-client,surface-shell,23,6,1,4,190.21,
app-field,surface-shell,16,6,1,4,7.71,
app-partner,surface-shell,16,6,1,4,8.57,
arb,service-root,52,20,5,4,24.23,MANY_FILES
control-panel,surface-shell,35,17,1,4,411.45,
docs,other,4,2,1,2,20.46,
dsh,service-root,310,51,3,5,3237.17,MANY_FILES;HIGH_SIZE
esf,service-root,29,11,5,4,22.28,
governance,governance,31,1,28,1,131.03,
knz,service-root,30,12,5,4,20.25,
kwd,service-root,28,11,5,4,19.86,
mrf,service-root,28,11,5,4,19.68,
snd,service-root,28,11,5,4,20.21,
tools,tools/evidence/guards,204,25,6,8,1864.99,MANY_FILES;HIGH_SIZE
ui-kit,design-system,44,7,3,2,1039.78,HIGH_SIZE
webapp,surface-shell,18,5,1,2,19.97,
website,surface-shell,20,6,1,2,23.08,
wlt,service-root,78,22,5,4,217.79,MANY_FILES
.agents/adapters,agent-system,6,0,6,0,4.77,
.agents/skills,agent-system,47,41,0,37,195.36,
.codex/agents,other,1,0,1,0,1.62,
.gemini/commands,other,1,0,1,0,17.85,
.github/prompts,other,1,0,1,0,18.03,
.github/workflows,other,8,0,8,0,7.83,
.idea/caches,other,1,0,1,0,76.58,
.opencode/agents,other,1,0,1,0,1.77,
.opencode/commands,other,1,0,1,0,18.02,
amn/backend,backend-scope,6,1,3,1,0.56,
amn/docs,other,1,0,1,0,0.22,
amn/frontend,frontend-surface-or-shared,23,9,1,3,5.09,
amn/media-fixtures,other,1,0,1,0,0.08,
app-captain/composition,surface-shell,1,0,1,0,0.86,
app-captain/docs,surface-shell,1,0,1,0,0.3,
app-captain/runtime,surface-shell,10,3,8,2,4.94,
app-captain/shell,surface-shell,4,0,4,0,2.86,
app-client/composition,surface-shell,2,0,2,0,1.57,
app-client/docs,surface-shell,1,0,1,0,0.53,
app-client/runtime,surface-shell,14,2,13,1,183.62,
app-client/shell,surface-shell,5,0,5,0,3.54,
app-field/composition,surface-shell,1,0,1,0,0.12,
app-field/docs,surface-shell,1,0,1,0,0.29,
app-field/runtime,surface-shell,9,2,8,1,3.96,
app-field/shell,surface-shell,4,0,4,0,2.4,
app-partner/composition,surface-shell,1,0,1,0,0.73,
app-partner/docs,surface-shell,1,0,1,0,0.3,
app-partner/runtime,surface-shell,9,2,8,1,3.83,
app-partner/shell,surface-shell,4,0,4,0,2.75,
arb/backend,backend-scope,6,1,3,1,0.56,
arb/docs,other,1,0,1,0,0.22,
arb/frontend,frontend-surface-or-shared,39,15,1,4,7.02,
arb/media-fixtures,other,1,0,1,0,0.08,
control-panel/composition,surface-shell,2,0,2,0,1.79,
control-panel/docs,surface-shell,1,0,1,0,0.55,
control-panel/runtime,surface-shell,19,12,6,1,362.19,
control-panel/shell,surface-shell,12,1,8,1,46.5,
docs/developer-tools,other,1,0,1,0,0.86,
docs/platform,other,2,0,2,0,6.57,
dsh/backend,backend-scope,6,1,3,1,0.67,SCAFFOLD_OR_TBD_REVIEW_REQUIRED
dsh/docs,other,10,0,10,0,60.75,
dsh/domain,domain-scope,1,0,1,0,0.14,SCAFFOLD_OR_TBD_REVIEW_REQUIRED
dsh/frontend,frontend-surface-or-shared,289,45,2,6,3168.51,MANY_FILES;HIGH_SIZE
dsh/media-fixtures,other,1,0,1,0,0.31,
esf/backend,backend-scope,6,1,3,1,0.56,
esf/docs,other,1,0,1,0,0.22,
esf/frontend,frontend-surface-or-shared,16,6,1,2,6.32,
esf/media-fixtures,other,1,0,1,0,0.08,
governance/agents,governance,3,0,3,0,4.39,
knz/backend,backend-scope,6,1,3,1,0.56,
knz/docs,other,1,0,1,0,0.27,
knz/frontend,frontend-surface-or-shared,17,7,1,2,4.0,
knz/media-fixtures,other,1,0,1,0,0.08,
kwd/backend,backend-scope,6,1,3,1,0.56,
kwd/docs,other,1,0,1,0,0.22,
kwd/frontend,frontend-surface-or-shared,15,6,1,2,3.89,
kwd/media-fixtures,other,1,0,1,0,0.08,
mrf/backend,backend-scope,6,1,3,1,0.56,
mrf/docs,other,1,0,1,0,0.22,
mrf/frontend,frontend-surface-or-shared,15,6,1,2,3.89,
mrf/media-fixtures,other,1,0,1,0,0.08,
snd/backend,backend-scope,6,1,3,1,0.56,
snd/docs,other,1,0,1,0,0.22,
snd/frontend,frontend-surface-or-shared,15,6,1,2,3.86,
snd/media-fixtures,other,1,0,1,0,0.08,
tools/archive,tools/evidence/guards,1,1,0,1,38.84,
tools/checks,tools/evidence/guards,1,0,1,0,11.98,
tools/expo,tools/evidence/guards,2,0,2,0,0.72,
tools/guards,tools/evidence/guards,37,1,36,1,128.66,
tools/plan,tools/evidence/guards,56,10,11,4,832.96,MANY_FILES;HIGH_SIZE
tools/registry,tools/evidence/guards,41,4,2,2,81.35,
tools/schemas,tools/evidence/guards,2,0,2,0,0.85,
tools/scripts,tools/evidence/guards,58,1,56,1,708.32,MANY_FILES;HIGH_SIZE
ui-kit/docs,design-system,2,3,0,1,517.24,HIGH_SIZE
ui-kit/src,design-system,39,2,12,2,518.41,HIGH_SIZE
webapp/runtime,surface-shell,7,2,4,1,7.66,
webapp/shell,surface-shell,10,1,6,1,11.92,
website/runtime,surface-shell,9,3,5,2,10.24,
website/shell,surface-shell,10,1,6,1,12.14,
wlt/backend,backend-scope,6,1,3,1,0.56,
wlt/docs,other,1,0,1,0,0.27,
wlt/frontend,frontend-surface-or-shared,65,17,1,6,168.31,MANY_FILES
wlt/media-fixtures,other,1,0,1,0,0.13,
wlt/backend/src,backend-scope,3,0,3,0,0.3,
wlt/frontend/app-captain,frontend-surface-or-shared,9,1,0,1,16.6,
wlt/frontend/app-client,frontend-surface-or-shared,19,5,4,4,29.34,
wlt/frontend/app-field,frontend-surface-or-shared,8,1,0,1,12.65,
wlt/frontend/app-partner,frontend-surface-or-shared,13,1,4,1,52.68,
wlt/frontend/control-panel,frontend-surface-or-shared,11,2,3,1,13.61,
wlt/frontend/shared,frontend-surface-or-shared,4,1,1,1,43.13,
wlt/frontend/app-captain/dsh,frontend-surface-or-shared,9,0,9,0,16.6,
wlt/frontend/app-client/dsh,frontend-surface-or-shared,9,0,9,0,21.08,
wlt/frontend/app-client/home,frontend-surface-or-shared,3,1,0,1,7.51,
wlt/frontend/app-client/screens,frontend-surface-or-shared,1,0,1,0,0.18,
wlt/frontend/app-client/wlt-app-client-flow,frontend-surface-or-shared,2,0,2,0,0.18,
wlt/frontend/app-field/dsh,frontend-surface-or-shared,8,0,8,0,12.65,
wlt/frontend/app-partner/dsh,frontend-surface-or-shared,9,0,9,0,48.82,
wlt/frontend/control-panel/finance,frontend-surface-or-shared,8,1,6,1,13.39,
wlt/frontend/shared/finance,frontend-surface-or-shared,3,0,3,0,43.09,
wlt/frontend/control-panel/finance/wlt-control-panel-finance-flow,frontend-surface-or-shared,2,0,2,0,0.17,
wlt/frontend/app-client/home/screens,frontend-surface-or-shared,3,0,3,0,7.51,
website/runtime/app,surface-shell,3,1,2,1,2.12,
website/runtime/e2e,surface-shell,1,0,1,0,0.94,
website/shell/shims,surface-shell,4,0,4,0,3.76,
website/runtime/app/settings,surface-shell,1,0,1,0,0.19,
