source_file,table_index,start_line,row_index,columns,row_json
.agents/INDEX.md,1,20,1,Skill | Use,"{""Skill"": ""`bthwani-current-workspace-authority`"", ""Use"": ""See `.agents/skills/bthwani-current-workspace-authority/SKILL.md`.""}"
.agents/INDEX.md,1,20,2,Skill | Use,"{""Skill"": ""`bthwani-agent-governance-execution`"", ""Use"": ""See `.agents/skills/bthwani-agent-governance-execution/SKILL.md`.""}"
.agents/INDEX.md,1,20,3,Skill | Use,"{""Skill"": ""`bthwani-local-evidence-pack`"", ""Use"": ""See `.agents/skills/bthwani-local-evidence-pack/SKILL.md`.""}"
.agents/INDEX.md,1,20,4,Skill | Use,"{""Skill"": ""`bthwani-patch-review-and-evidence`"", ""Use"": ""See `.agents/skills/bthwani-patch-review-and-evidence/SKILL.md`.""}"
.agents/INDEX.md,1,20,5,Skill | Use,"{""Skill"": ""`bthwani-agent-restoration-forensics`"", ""Use"": ""See `.agents/skills/bthwani-agent-restoration-forensics/SKILL.md`.""}"
.agents/INDEX.md,1,20,6,Skill | Use,"{""Skill"": ""`bthwani-domain-governance-reader`"", ""Use"": ""See `.agents/skills/bthwani-domain-governance-reader/SKILL.md`.""}"
.agents/INDEX.md,1,20,7,Skill | Use,"{""Skill"": ""`bthwani-ui-kit-surface-contract`"", ""Use"": ""See `.agents/skills/bthwani-ui-kit-surface-contract/SKILL.md`.""}"
.agents/INDEX.md,1,20,8,Skill | Use,"{""Skill"": ""`bthwani-screen-flow-binding-contract`"", ""Use"": ""See `.agents/skills/bthwani-screen-flow-binding-contract/SKILL.md`.""}"
.agents/INDEX.md,1,20,9,Skill | Use,"{""Skill"": ""`bthwani-integrated-system-umbrella-contract`"", ""Use"": ""See `.agents/skills/bthwani-integrated-system-umbrella-contract/SKILL.md`.""}"
.agents/INDEX.md,1,20,10,Skill | Use,"{""Skill"": ""`bthwani-platform-vars-control-contract`"", ""Use"": ""See `.agents/skills/bthwani-platform-vars-control-contract/SKILL.md`.""}"
.agents/INDEX.md,1,20,11,Skill | Use,"{""Skill"": ""`bthwani-runtime-provider-config-contract`"", ""Use"": ""See `.agents/skills/bthwani-runtime-provider-config-contract/SKILL.md`.""}"
.agents/INDEX.md,1,20,12,Skill | Use,"{""Skill"": ""`bthwani-api-contract-client-boundary`"", ""Use"": ""See `.agents/skills/bthwani-api-contract-client-boundary/SKILL.md`.""}"
.agents/INDEX.md,1,20,13,Skill | Use,"{""Skill"": ""`bthwani-go-backend-target-boundary`"", ""Use"": ""See `.agents/skills/bthwani-go-backend-target-boundary/SKILL.md`.""}"
.agents/INDEX.md,1,20,14,Skill | Use,"{""Skill"": ""`bthwani-data-fixture-simulation-contract`"", ""Use"": ""See `.agents/skills/bthwani-data-fixture-simulation-contract/SKILL.md`.""}"
.agents/INDEX.md,1,20,15,Skill | Use,"{""Skill"": ""`bthwani-on-demand-retrieval-contract`"", ""Use"": ""See `.agents/skills/bthwani-on-demand-retrieval-contract/SKILL.md`.""}"
.agents/INDEX.md,1,20,16,Skill | Use,"{""Skill"": ""`bthwani-finance-ledger-contract`"", ""Use"": ""See `.agents/skills/bthwani-finance-ledger-contract/SKILL.md`.""}"
.agents/INDEX.md,1,20,17,Skill | Use,"{""Skill"": ""`bthwani-commercial-growth-contract`"", ""Use"": ""See `.agents/skills/bthwani-commercial-growth-contract/SKILL.md`.""}"
.agents/INDEX.md,1,20,18,Skill | Use,"{""Skill"": ""`bthwani-commerce-catalog-contract`"", ""Use"": ""See `.agents/skills/bthwani-commerce-catalog-contract/SKILL.md`.""}"
.agents/INDEX.md,1,20,19,Skill | Use,"{""Skill"": ""`bthwani-operations-dispatch-contract`"", ""Use"": ""See `.agents/skills/bthwani-operations-dispatch-contract/SKILL.md`.""}"
.agents/INDEX.md,1,20,20,Skill | Use,"{""Skill"": ""`bthwani-mobile-navigation-back-contract`"", ""Use"": ""See `.agents/skills/bthwani-mobile-navigation-back-contract/SKILL.md`.""}"
.agents/INDEX.md,1,20,21,Skill | Use,"{""Skill"": ""`bthwani-security-secrets-privacy-contract`"", ""Use"": ""See `.agents/skills/bthwani-security-secrets-privacy-contract/SKILL.md`.""}"
.agents/INDEX.md,1,20,22,Skill | Use,"{""Skill"": ""`bthwani-supply-chain-intake-contract`"", ""Use"": ""See `.agents/skills/bthwani-supply-chain-intake-contract/SKILL.md`.""}"
.agents/INDEX.md,1,20,23,Skill | Use,"{""Skill"": ""`bthwani-test-quality-gates-contract`"", ""Use"": ""See `.agents/skills/bthwani-test-quality-gates-contract/SKILL.md`.""}"
.agents/INDEX.md,1,20,24,Skill | Use,"{""Skill"": ""`bthwani-release-runtime-gates`"", ""Use"": ""See `.agents/skills/bthwani-release-runtime-gates/SKILL.md`.""}"
.agents/INDEX.md,1,20,25,Skill | Use,"{""Skill"": ""`bthwani-observability-performance-contract`"", ""Use"": ""See `.agents/skills/bthwani-observability-performance-contract/SKILL.md`.""}"
.agents/INDEX.md,1,20,26,Skill | Use,"{""Skill"": ""`bthwani-agent-skill-authoring-contract`"", ""Use"": ""See `.agents/skills/bthwani-agent-skill-authoring-contract/SKILL.md`.""}"
.agents/INDEX.md,1,20,27,Skill | Use,"{""Skill"": ""`bthwani-agent-registry-validator`"", ""Use"": ""See `.agents/skills/bthwani-agent-registry-validator/SKILL.md`.""}"
.agents/INDEX.md,1,20,28,Skill | Use,"{""Skill"": ""`bthwani-frontend-design-excellence-contract`"", ""Use"": ""See `.agents/skills/bthwani-frontend-design-excellence-contract/SKILL.md`.""}"
.agents/INDEX.md,1,20,29,Skill | Use,"{""Skill"": ""`bthwani-stop-slop-prose-contract`"", ""Use"": ""See `.agents/skills/bthwani-stop-slop-prose-contract/SKILL.md`.""}"
.agents/INDEX.md,2,54,1,Skill | Use,"{""Skill"": ""`nx-workspace`"", ""Use"": ""Preserve when already present; BThwani rules override generic examples.""}"
.agents/INDEX.md,2,54,2,Skill | Use,"{""Skill"": ""`nx-generate`"", ""Use"": ""Preserve when already present; BThwani rules override generic examples.""}"
.agents/INDEX.md,2,54,3,Skill | Use,"{""Skill"": ""`nx-run-tasks`"", ""Use"": ""Preserve when already present; BThwani rules override generic examples.""}"
.agents/INDEX.md,2,54,4,Skill | Use,"{""Skill"": ""`nx-import`"", ""Use"": ""Preserve when already present; BThwani rules override generic examples.""}"
.agents/INDEX.md,2,54,5,Skill | Use,"{""Skill"": ""`nx-plugins`"", ""Use"": ""Preserve when already present; BThwani rules override generic examples.""}"
