path,category,ext,size_bytes,size_kb,lines,risk_flags,surface,proposed_decision
dsh/frontend/app-client/screens/OrdersTrackingScreens.tsx,service:dsh,.tsx,101947,99.56,2365,GIANT_GT70KB,app-client,SPLIT_NOW_BEFORE_BINDING
dsh/frontend/app-client/screens/CartScreen.tsx,service:dsh,.tsx,99572,97.24,2440,GIANT_GT70KB,app-client,SPLIT_NOW_BEFORE_BINDING
dsh/frontend/app-partner/screens/PartnerHubScreen.tsx,service:dsh,.tsx,98307,96.0,2304,GIANT_GT70KB;CONTRACT_TBD,app-partner,SPLIT_NOW_BEFORE_BINDING
dsh/frontend/app-client/screens/StoreScreen.tsx,service:dsh,.tsx,81439,79.53,2347,GIANT_GT70KB,app-client,SPLIT_NOW_BEFORE_BINDING
dsh/frontend/app-captain/DshCaptainSurface.tsx,service:dsh,.tsx,75049,73.29,1773,GIANT_GT70KB,app-captain,SPLIT_NOW_BEFORE_BINDING
dsh/frontend/app-client/screens/HomeScreen.tsx,service:dsh,.tsx,68840,67.23,2176,LARGE_GT40KB,app-client,GIANT_REFACTOR_LATER_OR_SPLIT_IF_BINDING
dsh/frontend/control-panel/marketing/ControlPanelDshMarketingScreen.tsx,service:dsh,.tsx,68180,66.58,1231,LARGE_GT40KB,control-panel,REVIEW
dsh/frontend/control-panel/marketing/BannersCommandDeckScreen.tsx,service:dsh,.tsx,63633,62.14,1547,LARGE_GT40KB,control-panel,REVIEW
dsh/frontend/app-partner/screens/InventoryCatalogScreen.tsx,service:dsh,.tsx,60920,59.49,1425,LARGE_GT40KB,app-partner,GIANT_REFACTOR_LATER_OR_SPLIT_IF_BINDING
dsh/frontend/shared/dsh-flow-registry.ts,service:dsh,.ts,58826,57.45,1367,LARGE_GT40KB;NEEDS_VISUAL_EVIDENCE_TEXT,shared,KEEP_WITH_REASON_AND_MONITOR
dsh/frontend/shared/dsh-order-journey.model.ts,service:dsh,.ts,57507,56.16,1322,LARGE_GT40KB,shared,KEEP_WITH_REASON_AND_MONITOR
dsh/frontend/app-client/DshClientSurface.tsx,service:dsh,.tsx,52728,51.49,1361,LARGE_GT40KB,app-client,GIANT_REFACTOR_LATER_OR_SPLIT_IF_BINDING
dsh/frontend/app-captain/screens/DshCaptainOrdersScreen.tsx,service:dsh,.tsx,51539,50.33,1440,LARGE_GT40KB,app-captain,GIANT_REFACTOR_LATER_OR_SPLIT_IF_BINDING
dsh/frontend/app-partner/screens/OrdersInboxScreen.tsx,service:dsh,.tsx,46310,45.22,1145,LARGE_GT40KB;HARDCODED_COLOR_CANDIDATE,app-partner,GIANT_REFACTOR_LATER_OR_SPLIT_IF_BINDING
dsh/frontend/shared/dshCrossSurfaceClosureMap.ts,service:dsh,.ts,42135,41.15,667,LARGE_GT40KB;NEEDS_VISUAL_EVIDENCE_TEXT,shared,KEEP_WITH_REASON_AND_MONITOR
