flowId,label,domain,owner_surface,visible_surfaces,route_screen_component,source_file,reachable,duplicate,contradiction,hidden_compat,should_be_visible,should_be_on_demand,current_on_demand_status,notes
CaptainOrderDetailScreen,CaptainOrderDetailScreen,order/delivery,app-captain,app-captain,dsh/frontend/app-captain/dsh-captain.screen-registry.ts,dsh/frontend/app-captain/dsh-captain.screen-registry.ts,TBD,no,TBD,no,TBD,yes,TBD,1 refs across 1 files
CaptainOrdersInboxScreen,CaptainOrdersInboxScreen,order/delivery,app-captain,app-captain,dsh/frontend/app-captain/dsh-captain.screen-registry.ts,dsh/frontend/app-captain/dsh-captain.screen-registry.ts,TBD,no,TBD,no,TBD,yes,TBD,1 refs across 1 files
DSH_MODE_SCHEDULED_ORDERS_ENABLED,DSH_MODE_SCHEDULED_ORDERS_ENABLED,order/delivery,control-panel,control-panel,dsh/frontend/control-panel/platform/Vars/DshPlatformVarsWorkspace.tsx,dsh/frontend/control-panel/platform/Vars/DshPlatformVarsWorkspace.tsx,TBD,no,TBD,no,TBD,yes,TBD,1 refs across 1 files
DSH_MODE_STORE_PICKUP_ENABLED,DSH_MODE_STORE_PICKUP_ENABLED,order/delivery,control-panel,control-panel,dsh/frontend/control-panel/platform/Vars/DshPlatformVarsWorkspace.tsx,dsh/frontend/control-panel/platform/Vars/DshPlatformVarsWorkspace.tsx,TBD,no,TBD,no,TBD,yes,TBD,1 refs across 1 files
DshCaptainBellScreen,DshCaptainBellScreen,order/delivery,app-captain,app-captain,dsh/frontend/app-captain/dsh-captain.screen-registry.ts,dsh/frontend/app-captain/dsh-captain.screen-registry.ts,TBD,no,TBD,no,TBD,yes,TBD,1 refs across 1 files
DshCaptainCodBalanceScreen,DshCaptainCodBalanceScreen,order/delivery,app-captain,app-captain,dsh/frontend/app-captain/dsh-captain.screen-registry.ts,dsh/frontend/app-captain/dsh-captain.screen-registry.ts,TBD,no,TBD,no,TBD,yes,TBD,1 refs across 1 files
DshCaptainMapScreen,DshCaptainMapScreen,order/delivery,app-captain,app-captain,dsh/frontend/app-captain/dsh-captain.screen-registry.ts,dsh/frontend/app-captain/dsh-captain.screen-registry.ts,TBD,no,TBD,no,TBD,yes,TBD,1 refs across 1 files
DshCaptainOrderChatScreen,DshCaptainOrderChatScreen,support/communication,app-captain,app-captain,dsh/frontend/app-captain/dsh-captain.screen-registry.ts,dsh/frontend/app-captain/dsh-captain.screen-registry.ts,TBD,no,TBD,no,TBD,yes,TBD,1 refs across 1 files
DshCaptainPickupDropoffScreen,DshCaptainPickupDropoffScreen,order/delivery,app-captain,app-captain,dsh/frontend/app-captain/dsh-captain.screen-registry.ts,dsh/frontend/app-captain/dsh-captain.screen-registry.ts,TBD,no,TBD,no,TBD,yes,TBD,1 refs across 1 files
DshCaptainPoDSubmissionScreen,DshCaptainPoDSubmissionScreen,order/delivery,app-captain,app-captain,dsh/frontend/app-captain/dsh-captain.screen-registry.ts,dsh/frontend/app-captain/dsh-captain.screen-registry.ts,TBD,no,TBD,no,TBD,yes,TBD,1 refs across 1 files
DshCaptainProfileGetScreen,DshCaptainProfileGetScreen,order/delivery,app-captain,app-captain,dsh/frontend/app-captain/dsh-captain.screen-registry.ts,dsh/frontend/app-captain/dsh-captain.screen-registry.ts,TBD,no,TBD,no,TBD,yes,TBD,1 refs across 1 files
DshCaptainSupportDirectoryScreen,DshCaptainSupportDirectoryScreen,support/communication,app-captain,app-captain,dsh/frontend/app-captain/dsh-captain.screen-registry.ts,dsh/frontend/app-captain/dsh-captain.screen-registry.ts,TBD,no,TBD,no,TBD,yes,TBD,1 refs across 1 files
DshCaptainSurface,DshCaptainSurface,order/delivery,app-captain,app-captain,dsh/frontend/app-captain/dsh-captain.screen-registry.ts,dsh/frontend/app-captain/dsh-captain.screen-registry.ts,TBD,no,TBD,no,TBD,yes,TBD,7 refs across 1 files
DshClientBellScreen,DshClientBellScreen,other,app-client,app-client,dsh/frontend/app-client/DshClientSurface.tsx | dsh/frontend/app-client/dsh-client.screen-registry.ts,dsh/frontend/app-client/DshClientSurface.tsx,TBD-static-refs,yes,TBD,no,TBD,TBD,TBD,2 refs across 2 files
DshFieldFinanceScreen,DshFieldFinanceScreen,finance,app-field,app-field,dsh/frontend/app-field/dsh-field.screen-registry.ts,dsh/frontend/app-field/dsh-field.screen-registry.ts,TBD,no,TBD,no,TBD,yes,TBD,1 refs across 1 files
DshFieldProfileHomeScreen,DshFieldProfileHomeScreen,other,app-field,app-field,dsh/frontend/app-field/dsh-field.screen-registry.ts,dsh/frontend/app-field/dsh-field.screen-registry.ts,TBD,no,TBD,no,TBD,TBD,TBD,1 refs across 1 files
DshFieldProfileScreen,DshFieldProfileScreen,other,app-field,app-field,dsh/frontend/app-field/dsh-field.screen-registry.ts,dsh/frontend/app-field/dsh-field.screen-registry.ts,TBD,no,TBD,no,TBD,TBD,TBD,1 refs across 1 files
DshFieldReadinessEscalationScreen,DshFieldReadinessEscalationScreen,other,app-field,app-field,dsh/frontend/app-field/dsh-field.screen-registry.ts,dsh/frontend/app-field/dsh-field.screen-registry.ts,TBD,no,TBD,no,TBD,TBD,TBD,1 refs across 1 files
DshFieldStoreOnboardingScreen,DshFieldStoreOnboardingScreen,other,app-field,app-field,dsh/frontend/app-field/dsh-field.screen-registry.ts,dsh/frontend/app-field/dsh-field.screen-registry.ts,TBD,no,TBD,no,TBD,TBD,TBD,1 refs across 1 files
DshFieldStoreVisitScreen,DshFieldStoreVisitScreen,other,app-field,app-field,dsh/frontend/app-field/dsh-field.screen-registry.ts,dsh/frontend/app-field/dsh-field.screen-registry.ts,TBD,no,TBD,no,TBD,TBD,TBD,1 refs across 1 files
