severity,surface,path,violation_type,risk,recommended_correction,phase_priority
HIGH,app-captain,dsh/frontend/app-captain/DshCaptainSurface.tsx,heavy useState/detail payload risk=3 | detail/audit/chat/refund always-render risk=37 | array preview duplication risk=6,Possible eager/detail payload or duplicated preview data; static confirmation required.,Use IDs/references/summary first. Render audit/chat/evidence/refund/catalog detail only after expansion/route-level on-demand action.,P1
MEDIUM,app-captain,dsh/frontend/app-captain/contracts/dshCaptainBinding.contracts.ts,array preview duplication risk=1,Possible eager/detail payload or duplicated preview data; static confirmation required.,Use IDs/references/summary first. Render audit/chat/evidence/refund/catalog detail only after expansion/route-level on-demand action.,P2
MEDIUM,app-captain,dsh/frontend/app-captain/data/captain-orders.preview-data.ts,detail/audit/chat/refund always-render risk=2,Possible eager/detail payload or duplicated preview data; static confirmation required.,Use IDs/references/summary first. Render audit/chat/evidence/refund/catalog detail only after expansion/route-level on-demand action.,P2
HIGH,app-captain,dsh/frontend/app-captain/data/fixture-locations.ts,array preview duplication risk=19,Possible eager/detail payload or duplicated preview data; static confirmation required.,Use IDs/references/summary first. Render audit/chat/evidence/refund/catalog detail only after expansion/route-level on-demand action.,P1
MEDIUM,app-captain,dsh/frontend/app-captain/dsh-captain.routes.ts,detail/audit/chat/refund always-render risk=4 | array preview duplication risk=1,Possible eager/detail payload or duplicated preview data; static confirmation required.,Use IDs/references/summary first. Render audit/chat/evidence/refund/catalog detail only after expansion/route-level on-demand action.,P2
MEDIUM,app-captain,dsh/frontend/app-captain/dsh-captain.screen-registry.ts,detail/audit/chat/refund always-render risk=6 | array preview duplication risk=2,Possible eager/detail payload or duplicated preview data; static confirmation required.,Use IDs/references/summary first. Render audit/chat/evidence/refund/catalog detail only after expansion/route-level on-demand action.,P2
MEDIUM,app-captain,dsh/frontend/app-captain/dsh-captain.types.ts,detail/audit/chat/refund always-render risk=2 | array preview duplication risk=1,Possible eager/detail payload or duplicated preview data; static confirmation required.,Use IDs/references/summary first. Render audit/chat/evidence/refund/catalog detail only after expansion/route-level on-demand action.,P2
MEDIUM,app-captain,dsh/frontend/app-captain/screens/DshCaptainFinanceScreen.tsx,array preview duplication risk=3,Possible eager/detail payload or duplicated preview data; static confirmation required.,Use IDs/references/summary first. Render audit/chat/evidence/refund/catalog detail only after expansion/route-level on-demand action.,P2
HIGH,app-captain,dsh/frontend/app-captain/screens/DshCaptainOperationsScreen.tsx,detail/audit/chat/refund always-render risk=8 | array preview duplication risk=18,Possible eager/detail payload or duplicated preview data; static confirmation required.,Use IDs/references/summary first. Render audit/chat/evidence/refund/catalog detail only after expansion/route-level on-demand action.,P1
HIGH,app-captain,dsh/frontend/app-captain/screens/DshCaptainOrdersScreen.tsx,heavy useState/detail payload risk=2 | detail/audit/chat/refund always-render risk=20 | array preview duplication risk=1,Possible eager/detail payload or duplicated preview data; static confirmation required.,Use IDs/references/summary first. Render audit/chat/evidence/refund/catalog detail only after expansion/route-level on-demand action.,P1
MEDIUM,app-captain,dsh/frontend/app-captain/screens/DshCaptainPoDSubmissionScreen.tsx,array preview duplication risk=4,Possible eager/detail payload or duplicated preview data; static confirmation required.,Use IDs/references/summary first. Render audit/chat/evidence/refund/catalog detail only after expansion/route-level on-demand action.,P2
MEDIUM,app-captain,dsh/frontend/app-captain/screens/DshCaptainProfileScreen.tsx,array preview duplication risk=1,Possible eager/detail payload or duplicated preview data; static confirmation required.,Use IDs/references/summary first. Render audit/chat/evidence/refund/catalog detail only after expansion/route-level on-demand action.,P2
HIGH,app-client,dsh/frontend/app-client/DshClientSurface.tsx,heavy useState/detail payload risk=3 | detail/audit/chat/refund always-render risk=18 | array preview duplication risk=32,Possible eager/detail payload or duplicated preview data; static confirmation required.,Use IDs/references/summary first. Render audit/chat/evidence/refund/catalog detail only after expansion/route-level on-demand action.,P1
HIGH,app-client,dsh/frontend/app-client/contracts/dsh-client-binding.contracts.ts,detail/audit/chat/refund always-render risk=28 | array preview duplication risk=1,Possible eager/detail payload or duplicated preview data; static confirmation required.,Use IDs/references/summary first. Render audit/chat/evidence/refund/catalog detail only after expansion/route-level on-demand action.,P1
HIGH,app-client,dsh/frontend/app-client/data/categories.preview-data.ts,array preview duplication risk=12,Possible eager/detail payload or duplicated preview data; static confirmation required.,Use IDs/references/summary first. Render audit/chat/evidence/refund/catalog detail only after expansion/route-level on-demand action.,P1
HIGH,app-client,dsh/frontend/app-client/data/client-state.preview-data.ts,detail/audit/chat/refund always-render risk=16,Possible eager/detail payload or duplicated preview data; static confirmation required.,Use IDs/references/summary first. Render audit/chat/evidence/refund/catalog detail only after expansion/route-level on-demand action.,P1
MEDIUM,app-client,dsh/frontend/app-client/data/discovery.preview-data.ts,array preview duplication risk=7,Possible eager/detail payload or duplicated preview data; static confirmation required.,Use IDs/references/summary first. Render audit/chat/evidence/refund/catalog detail only after expansion/route-level on-demand action.,P2
HIGH,app-client,dsh/frontend/app-client/data/home.preview-data.ts,array preview duplication risk=39,Possible eager/detail payload or duplicated preview data; static confirmation required.,Use IDs/references/summary first. Render audit/chat/evidence/refund/catalog detail only after expansion/route-level on-demand action.,P1
HIGH,app-client,dsh/frontend/app-client/data/items.preview-data.ts,array preview duplication risk=21,Possible eager/detail payload or duplicated preview data; static confirmation required.,Use IDs/references/summary first. Render audit/chat/evidence/refund/catalog detail only after expansion/route-level on-demand action.,P1
HIGH,app-client,dsh/frontend/app-client/data/loyalty-commercial.preview-data.ts,array preview duplication risk=15,Possible eager/detail payload or duplicated preview data; static confirmation required.,Use IDs/references/summary first. Render audit/chat/evidence/refund/catalog detail only after expansion/route-level on-demand action.,P1
MEDIUM,app-client,dsh/frontend/app-client/data/notifications.preview-data.ts,array preview duplication risk=9,Possible eager/detail payload or duplicated preview data; static confirmation required.,Use IDs/references/summary first. Render audit/chat/evidence/refund/catalog detail only after expansion/route-level on-demand action.,P2
MEDIUM,app-client,dsh/frontend/app-client/data/store.preview-data.ts,array preview duplication risk=7,Possible eager/detail payload or duplicated preview data; static confirmation required.,Use IDs/references/summary first. Render audit/chat/evidence/refund/catalog detail only after expansion/route-level on-demand action.,P2
MEDIUM,app-client,dsh/frontend/app-client/data/subscriptions-commercial.preview-data.ts,array preview duplication risk=6,Possible eager/detail payload or duplicated preview data; static confirmation required.,Use IDs/references/summary first. Render audit/chat/evidence/refund/catalog detail only after expansion/route-level on-demand action.,P2
MEDIUM,app-client,dsh/frontend/app-client/data/surface-catalog.preview-data.ts,detail/audit/chat/refund always-render risk=1,Possible eager/detail payload or duplicated preview data; static confirmation required.,Use IDs/references/summary first. Render audit/chat/evidence/refund/catalog detail only after expansion/route-level on-demand action.,P2
MEDIUM,app-client,dsh/frontend/app-client/dsh-client.routes.ts,detail/audit/chat/refund always-render risk=6 | array preview duplication risk=1,Possible eager/detail payload or duplicated preview data; static confirmation required.,Use IDs/references/summary first. Render audit/chat/evidence/refund/catalog detail only after expansion/route-level on-demand action.,P2
MEDIUM,app-client,dsh/frontend/app-client/dsh-client.screen-registry.ts,detail/audit/chat/refund always-render risk=7 | array preview duplication risk=2,Possible eager/detail payload or duplicated preview data; static confirmation required.,Use IDs/references/summary first. Render audit/chat/evidence/refund/catalog detail only after expansion/route-level on-demand action.,P2
MEDIUM,app-client,dsh/frontend/app-client/dsh-client.types.ts,detail/audit/chat/refund always-render risk=1 | array preview duplication risk=1,Possible eager/detail payload or duplicated preview data; static confirmation required.,Use IDs/references/summary first. Render audit/chat/evidence/refund/catalog detail only after expansion/route-level on-demand action.,P2
MEDIUM,app-client,dsh/frontend/app-client/parts/ApprovedVideoReelsViewer.tsx,array preview duplication risk=1,Possible eager/detail payload or duplicated preview data; static confirmation required.,Use IDs/references/summary first. Render audit/chat/evidence/refund/catalog detail only after expansion/route-level on-demand action.,P2
HIGH,app-client,dsh/frontend/app-client/parts/AwnakOrderCreateScreen.tsx,heavy useState/detail payload risk=1,Possible eager/detail payload or duplicated preview data; static confirmation required.,Use IDs/references/summary first. Render audit/chat/evidence/refund/catalog detail only after expansion/route-level on-demand action.,P1
MEDIUM,app-client,dsh/frontend/app-client/parts/CartDetails.tsx,detail/audit/chat/refund always-render risk=4,Possible eager/detail payload or duplicated preview data; static confirmation required.,Use IDs/references/summary first. Render audit/chat/evidence/refund/catalog detail only after expansion/route-level on-demand action.,P2
MEDIUM,app-client,dsh/frontend/app-client/parts/LoyaltyRewardsScreen.tsx,array preview duplication risk=3,Possible eager/detail payload or duplicated preview data; static confirmation required.,Use IDs/references/summary first. Render audit/chat/evidence/refund/catalog detail only after expansion/route-level on-demand action.,P2
MEDIUM,app-client,dsh/frontend/app-client/parts/SubscriptionsScreen.tsx,array preview duplication risk=1,Possible eager/detail payload or duplicated preview data; static confirmation required.,Use IDs/references/summary first. Render audit/chat/evidence/refund/catalog detail only after expansion/route-level on-demand action.,P2
MEDIUM,app-client,dsh/frontend/app-client/screens/AddressLocationScreen.tsx,array preview duplication risk=2,Possible eager/detail payload or duplicated preview data; static confirmation required.,Use IDs/references/summary first. Render audit/chat/evidence/refund/catalog detail only after expansion/route-level on-demand action.,P2
MEDIUM,app-client,dsh/frontend/app-client/screens/BenefitsScreen.tsx,array preview duplication risk=8,Possible eager/detail payload or duplicated preview data; static confirmation required.,Use IDs/references/summary first. Render audit/chat/evidence/refund/catalog detail only after expansion/route-level on-demand action.,P2
HIGH,app-client,dsh/frontend/app-client/screens/CartScreen.tsx,heavy useState/detail payload risk=2 | detail/audit/chat/refund always-render risk=8 | array preview duplication risk=66,Possible eager/detail payload or duplicated preview data; static confirmation required.,Use IDs/references/summary first. Render audit/chat/evidence/refund/catalog detail only after expansion/route-level on-demand action.,P1
MEDIUM,app-client,dsh/frontend/app-client/screens/DshCheckoutIntentScreen.tsx,array preview duplication risk=1,Possible eager/detail payload or duplicated preview data; static confirmation required.,Use IDs/references/summary first. Render audit/chat/evidence/refund/catalog detail only after expansion/route-level on-demand action.,P2
HIGH,app-client,dsh/frontend/app-client/screens/HomeScreen.tsx,array preview duplication risk=20,Possible eager/detail payload or duplicated preview data; static confirmation required.,Use IDs/references/summary first. Render audit/chat/evidence/refund/catalog detail only after expansion/route-level on-demand action.,P1
MEDIUM,app-client,dsh/frontend/app-client/screens/MySpaceSubScreens.tsx,detail/audit/chat/refund always-render risk=1,Possible eager/detail payload or duplicated preview data; static confirmation required.,Use IDs/references/summary first. Render audit/chat/evidence/refund/catalog detail only after expansion/route-level on-demand action.,P2
MEDIUM,app-client,dsh/frontend/app-client/screens/NotificationsScreen.tsx,array preview duplication risk=5,Possible eager/detail payload or duplicated preview data; static confirmation required.,Use IDs/references/summary first. Render audit/chat/evidence/refund/catalog detail only after expansion/route-level on-demand action.,P2
HIGH,app-client,dsh/frontend/app-client/screens/OperationScreens.tsx,detail/audit/chat/refund always-render risk=33 | array preview duplication risk=12,Possible eager/detail payload or duplicated preview data; static confirmation required.,Use IDs/references/summary first. Render audit/chat/evidence/refund/catalog detail only after expansion/route-level on-demand action.,P1
