surface,path,screen_components,import_reachability,route_ids_detected,status,notes
control-panel,control-panel/runtime/app/administration/page.tsx,AdministrationPage,AdministrationPage:imports=0,,TBD,placeholder_hits=0; components=1
control-panel,control-panel/runtime/app/catalogs/page.tsx,CatalogsPage,CatalogsPage:imports=0,catalogs,TBD,placeholder_hits=0; components=1
control-panel,control-panel/runtime/app/community-services/page.tsx,CommunityServicesPage,CommunityServicesPage:imports=0,,TBD,placeholder_hits=0; components=1
control-panel,control-panel/runtime/app/dashboard/page.tsx,DashboardPage,DashboardPage:imports=0,,TBD,placeholder_hits=0; components=1
control-panel,control-panel/runtime/app/finance/page.tsx,FinancePage,FinancePage:imports=0,,TBD,placeholder_hits=0; components=1
control-panel,control-panel/runtime/app/hr/page.tsx,HrPage,HrPage:imports=0,,TBD,placeholder_hits=0; components=1
control-panel,control-panel/runtime/app/marketing/page.tsx,MarketingPage,MarketingPage:imports=0,,TBD,placeholder_hits=0; components=1
control-panel,control-panel/runtime/app/operations/page.tsx,OperationsPage,OperationsPage:imports=0,operations,TBD,placeholder_hits=0; components=1
control-panel,control-panel/runtime/app/page.tsx,Page,Page:imports=0,,TBD,placeholder_hits=0; components=1
control-panel,control-panel/runtime/app/partners/page.tsx,PartnersPage,PartnersPage:imports=0,partners,TBD,placeholder_hits=0; components=1
control-panel,control-panel/runtime/app/platform/page.tsx,PlatformPage,PlatformPage:imports=0,,TBD,placeholder_hits=0; components=1
control-panel,control-panel/runtime/app/support/page.tsx,SupportPage,SupportPage:imports=0,support,TBD,placeholder_hits=0; components=1
app-captain,dsh/frontend/app-captain/DshCaptainSurface.tsx,CompactOrderChatBubble | DshCaptainSurface,CompactOrderChatBubble:imports=0 | DshCaptainSurface:imports=0,account-docs | account-orders | account-profile | account-support | bell | bell_rang | bthwani_captain_mode | captain-1 | captain-2 | captain-demo | captain-order- | captain-order-9021 | captain-order-9024 | chat-read-ack | chat-send | chatbubble-ellipses-outline | delivery | document-text-outline | entry | home | home-outline | inbox | my-orders | order-accept | order-deliver | ...,WEAK_OR_TRANSITIONAL,placeholder_hits=20; components=2
app-captain,dsh/frontend/app-captain/dsh-captain.routes.ts,,,account-docs | account-orders | account-profile | account-support | bell | dsh-captain-account | dsh-captain-account-docs | dsh-captain-account-finance | dsh-captain-account-orders | dsh-captain-account-profile | dsh-captain-account-shifts | dsh-captain-account-support | dsh-captain-bell | dsh-captain-detail | dsh-captain-entry | dsh-captain-home | dsh-captain-inbox | dsh-captain-map | dsh-captain-order-chat | dsh-captain-pickup-dropoff | dsh-captain-pod-submission | dsh-captain-support-directory | dsh-captain-support-screen | entry | home | ...,WEAK_OR_TRANSITIONAL,placeholder_hits=21; components=0
app-captain,dsh/frontend/app-captain/dsh-captain.screen-registry.ts,,,app-captain | captain_dsh_account_docs_view | captain_dsh_account_finance_view | captain_dsh_account_orders_view | captain_dsh_account_profile_view | captain_dsh_account_root_view | captain_dsh_account_shifts_view | captain_dsh_account_support_view | captain_dsh_bell_view | captain_dsh_entry_view | captain_dsh_home_dashboard_view | captain_dsh_order_chat_view | captain_dsh_order_detail_view | captain_dsh_orders_inbox_view | captain_dsh_orders_map_view | captain_dsh_orders_pickup_dropoff_view | captain_dsh_orders_pod_submission_view | captain_dsh_support_directory_view | captain_dsh_support_workspace_view | captain_wlt_dsh_finance_bridge_view | dsh-captain-account | dsh-captain-account-docs | dsh-captain-account-finance | dsh-captain-account-orders | dsh-captain-account-profile | ...,WEAK_OR_TRANSITIONAL,placeholder_hits=28; components=0
app-captain,dsh/frontend/app-captain/parts/OperationScreen.ts,,,,TBD,placeholder_hits=0; components=0
app-captain,dsh/frontend/app-captain/screens/DshCaptainEntryScreen.tsx,DshCaptainEntryScreen,DshCaptainEntryScreen:imports=0,,POSSIBLY_UNREACHABLE,placeholder_hits=0; components=1
