flow_id,domain,owner_surface,escalation_owner,visibility,on_demand_policy,financial_impact,displayed_in_control_panel_catalog
control-escalation-queue,operations,control-panel,control-panel,primary,detail-on-open,false,YES
control-sla-policy,operations,control-panel,control-panel,primary,summary-only,false,YES
field-readiness-escalation,field-ops,app-field,control-panel,primary,evidence-on-open,false,YES
field-store-onboarding,field-ops,app-field,control-panel,primary,detail-on-open,false,YES
field-store-visit,field-ops,app-field,control-panel,contextual,summary-only,false,YES
captain-order-pickup,delivery,app-captain,control-panel,primary,detail-on-open,false,YES
captain-proof-of-delivery,delivery,app-captain,control-panel,primary,evidence-on-open,false,YES
captain-map-navigation,delivery,app-captain,control-panel,primary,summary-only,false,YES
client-order-tracking,client-experience,app-client,control-panel,primary,summary-only,false,YES
client-cart-checkout,client-experience,app-client,control-panel,primary,detail-on-open,false,YES
client-order-issue,client-experience,app-client,control-panel,primary,evidence-on-open,false,YES
partner-order-support,partner-ops,app-partner,control-panel,primary,detail-on-open,false,YES
partner-issue-escalation,partner-ops,app-partner,control-panel,primary,evidence-on-open,false,YES
partner-finance-bridge,finance,app-partner,control-panel,hidden-compat,finance-preview-only,true,YES (read-only reference; finance badge shown)
partner-settlement-summary,finance,wlt-finance,control-panel,hidden-compat,finance-preview-only,true,YES (read-only reference; finance badge shown)
partner-commission-summary,finance,wlt-finance,control-panel,hidden-compat,finance-preview-only,true,YES (read-only reference; finance badge shown)
