flow_id,registry_owner_surface,consumer_surface,consumer_file,consumer_function,phase
client-order-tracking,app-client,app-client,dsh-client-binding.contracts.ts,getDshClientFlowPolicy,2
client-cart-checkout,app-client,app-client,dsh-client-binding.contracts.ts,getDshClientFlowPolicy,2
client-order-issue,app-client,app-client,dsh-client-binding.contracts.ts,getDshClientFlowPolicy,2
captain-order-pickup,app-captain,app-captain,dshCaptainBinding.contracts.ts,getDshCaptainFlowPolicy,2
captain-proof-of-delivery,app-captain,app-captain,dshCaptainBinding.contracts.ts,getDshCaptainFlowPolicy,2
captain-map-navigation,app-captain,app-captain,dshCaptainBinding.contracts.ts,getDshCaptainFlowPolicy,2
field-readiness-escalation,app-field,app-field,DshFieldReadinessEscalationScreen.tsx,getDshFlowById,2
control-escalation-queue,control-panel,control-panel,ExceptionsEscalationsScreen.tsx,getDshEscalationFlows,2
partner-order-support,app-partner,app-partner,PartnerSupportScreen.tsx,isDshHiddenCompatFlow,1
partner-issue-escalation,app-partner,app-partner,PartnerSupportScreen.tsx,isDshHiddenCompatFlow,1
