flow_id,surface,on_demand_policy,compliance_method,compliant,notes
client-order-tracking,app-client,summary-only,getDshClientFlowPolicy lookup,YES,no detail loaded until expand
client-cart-checkout,app-client,detail-on-open,getDshClientFlowPolicy lookup,YES,detail deferred to open
client-order-issue,app-client,evidence-on-open,getDshClientFlowPolicy lookup,YES,evidence/attachments only on explicit open
captain-order-pickup,app-captain,detail-on-open,getDshCaptainFlowPolicy lookup,YES,detail deferred to open
captain-proof-of-delivery,app-captain,evidence-on-open,getDshCaptainFlowPolicy lookup,YES,PoD not loaded eagerly — evidence-on-open enforced
captain-map-navigation,app-captain,summary-only,getDshCaptainFlowPolicy lookup,YES,summary only no nav detail eager loaded
field-readiness-escalation,app-field,evidence-on-open,getDshFlowById in screen,YES,registryEscalationOwner derived from registry; no evidence eager load
control-escalation-queue,control-panel,detail-on-open,getDshEscalationFlows catalog,YES,catalog is read-only summary reference; no mutation
partner-finance-bridge,wlt-finance,finance-preview-only,registry read-only reference,YES,financialImpact=true; hidden-compat; no mutation path
partner-settlement-summary,wlt-finance,finance-preview-only,registry read-only reference,YES,financialImpact=true; hidden-compat; no mutation path
partner-commission-summary,wlt-finance,finance-preview-only,registry read-only reference,YES,financialImpact=true; hidden-compat; no mutation path
